Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Igor Cuesta,2000740950,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Pole,76062797,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Roberto Sukunza,2000202561,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nico Montoro,2000513279,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Rulo,67196228,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ricki Alonso,2000444088,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Lucas Suárez,67291632,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Carlos Pérez,67277708,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Migue Fernández,2000513270,0,0,0,0,0,0,0,1,1,0,1,1,1,0
Alejandro Preciado,76058677,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Igor Larrazabal,2000201328,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Víctor Manuel Miguélez,2000740958,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Vojo Bešović,2000191918,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Alberto Jiménez,2000712145,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Gorka Merino,2000441525,0,1,1,0,0,1,0,0,1,0,0,0,0,0
Edgar Fernández,2000514789,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Quique Refojos,2000514794,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sadio Halidou,2000680220,0,0,0,1,0,0,0,0,0,0,0,0,0,0
