Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Igor Cuesta,2000740950.0,5.52,3.36,3.46,2.94,3.32,2.92,3.02,2.63,2.81,2.77
Ryan Pole,76062797.0,11.53,10.39,10.54,10.04,10.16,9.5,9.51,9.77,9.51,8.89
Roberto Sukunza,2000202561.0,11.33,10.61,11.52,10.01,10.32,9.21,9.64,9.28,9.26,9.33
Nico Montoro,2000513279.0,10.99,10.55,10.8,10.24,10.39,9.57,9.97,9.74,9.64,9.42
Rulo,67196228.0,10.85,9.96,10.15,9.68,10.12,9.3,9.98,9.2,9.61,8.68
Ricki Alonso,2000444088.0,10.88,10.92,10.43,10.94,10.89,10.67,11.44,10.76,11.05,10.26
Lucas Suárez,67291632.0,10.15,10.06,9.96,10.1,10.41,10.2,10.94,9.95,10.63,10.0
Carlos Pérez,67277708.0,11.15,10.7,10.25,10.99,10.68,11.37,11.31,11.38,11.52,11.05
Migue Fernández,2000513270.0,9.32,9.2,7.86,9.78,9.2,10.24,10.06,10.5,10.53,9.63
Alejandro Preciado,76058677.0,9.92,9.8,8.72,10.14,9.77,10.45,10.34,10.61,10.6,10.44
Igor Larrazabal,2000201328.0,12.65,11.46,10.7,11.77,11.19,12.01,11.86,12.26,12.41,11.95
Víctor Manuel Miguélez,2000740958.0,7.44,7.22,7.77,6.9,7.12,6.14,6.69,6.15,6.37,5.94
Vojo Bešović,2000191918.0,7.82,8.64,7.57,9.12,8.61,9.41,9.57,9.36,9.66,9.26
Alberto Jiménez,2000712145.0,7.62,8.06,7.1,8.54,7.99,9.11,9.35,9.28,9.53,9.31
Gorka Merino,2000441525.0,7.94,8.32,7.28,8.7,8.27,8.62,8.69,8.56,8.77,8.42
Edgar Fernández,2000514789.0,7.32,7.8,8.47,7.49,7.65,6.81,7.18,6.96,6.8,7.06
Quique Refojos,2000514794.0,6.76,7.73,8.18,7.67,7.32,6.89,7.08,7.1,6.87,7.17
Sadio Halidou,2000680220.0,8.03,8.69,9.19,8.37,8.32,7.38,7.61,7.73,7.48,7.38
