Player,UID,Position
Igor Cuesta,2000740950,GK
Ryan Pole,76062797,D/WB (R)
Roberto Sukunza,2000202561,D (C)
Nico Montoro,2000513279,"D (C), DM, M (C)"
Rulo,67196228,D/AM (L)
Ricki Alonso,2000444088,"DM, M (C)"
Lucas Suárez,67291632,M (C)
Carlos Pérez,67277708,M/AM (C)
Migue Fernández,2000513270,"M (RC), AM (RLC)"
Alejandro Preciado,76058677,"M (L), AM (RLC), ST (C)"
Igor Larrazabal,2000201328,"AM (C), ST (C)"
Víctor Manuel Miguélez,2000740958,"D (C), DM"
Vojo Bešović,2000191918,"D (C), DM, M (C)"
Alberto Jiménez,2000712145,"M/AM (C), ST (C)"
Gorka Merino,2000441525,"D (RC), DM, M (C)"
Edgar Fernández,2000514789,"D (RC), WB (R)"
Quique Refojos,2000514794,D (C)
Sadio Halidou,2000680220,D (L)
