Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Igor Cuesta,2000740950.0,1.17,5.88,0.0,1.17,1.83,1.83,0.0,4.92
Ryan Pole,76062797.0,11.33,11.12,11.5,2.17,1.83,10.83,8.5,12.08
Roberto Sukunza,2000202561.0,14.0,11.38,9.0,2.83,5.33,7.83,15.0,11.75
Nico Montoro,2000513279.0,11.17,12.38,10.0,2.17,5.33,9.67,10.0,11.92
Rulo,67196228.0,11.67,7.5,9.0,7.67,6.67,11.33,5.5,10.83
Ricki Alonso,2000444088.0,8.67,10.88,9.0,11.33,9.0,11.0,9.0,13.0
Lucas Suárez,67291632.0,8.0,11.25,5.5,14.67,9.33,14.33,10.0,10.67
Carlos Pérez,67277708.0,5.0,9.75,12.5,13.0,10.33,12.67,9.5,10.17
Migue Fernández,2000513270.0,1.33,10.5,14.5,13.67,7.33,12.33,5.0,8.5
Alejandro Preciado,76058677.0,2.0,11.75,11.0,10.0,9.33,11.33,10.0,11.33
Igor Larrazabal,2000201328.0,4.83,11.5,16.5,13.0,13.0,11.67,9.0,12.0
Víctor Manuel Miguélez,2000740958.0,10.0,4.12,7.75,2.33,2.33,5.83,7.75,8.08
Vojo Bešović,2000191918.0,5.67,11.12,9.0,11.17,8.33,12.83,12.0,7.17
Alberto Jiménez,2000712145.0,0.0,11.12,10.25,13.17,10.67,12.17,9.25,6.83
Gorka Merino,2000441525.0,7.0,14.12,7.0,8.17,8.33,10.0,6.25,5.92
Edgar Fernández,2000514789.0,9.67,5.0,9.5,2.33,4.33,5.67,10.5,11.0
Quique Refojos,2000514794.0,8.5,6.25,11.5,3.17,3.17,3.67,14.0,9.0
Sadio Halidou,2000680220.0,11.67,5.5,12.0,2.0,2.33,6.0,10.5,10.17
