Player,UID,WM,W,DW,IW,IF,WG
Igor Cuesta,2000740950.0,1.55,0.3,2.05,2.45,2.45,0.25
Ryan Pole,76062797.0,8.4,8.0,10.4,9.0,9.0,8.08
Roberto Sukunza,2000202561.0,9.65,8.45,11.3,9.25,9.25,9.54
Nico Montoro,2000513279.0,10.4,9.3,10.85,10.15,10.15,9.42
Rulo,67196228.0,10.2,8.5,10.5,11.2,10.7,8.0
Ricki Alonso,2000444088.0,12.45,10.65,11.85,13.05,12.05,10.38
Lucas Suárez,67291632.0,11.2,10.5,10.1,12.9,12.3,10.42
Carlos Pérez,67277708.0,10.9,11.2,9.2,13.0,12.8,10.92
Migue Fernández,2000513270.0,9.3,9.9,6.5,10.9,9.8,9.08
Alejandro Preciado,76058677.0,11.5,11.6,8.8,11.7,11.8,11.33
Igor Larrazabal,2000201328.0,10.65,12.7,8.85,12.5,12.2,12.08
Víctor Manuel Miguélez,2000740958.0,6.95,4.5,7.7,6.75,6.75,5.04
Vojo Bešović,2000191918.0,9.9,10.1,8.35,10.1,9.8,10.42
Alberto Jiménez,2000712145.0,9.7,9.75,4.45,10.65,9.65,9.67
Gorka Merino,2000441525.0,8.45,9.2,7.8,8.3,8.7,8.71
Edgar Fernández,2000514789.0,7.4,5.3,9.4,6.4,6.4,6.17
Quique Refojos,2000514794.0,7.45,6.65,9.5,6.0,6.0,7.88
Sadio Halidou,2000680220.0,7.9,5.9,10.0,7.0,7.0,6.67
