Player,UID,FB,WB,IWB,CWB,NNFB
Igor Cuesta,2000740950.0,1.7,0.35,2.6,0.96,3.3
Ryan Pole,76062797.0,12.05,9.35,10.1,9.31,12.0
Roberto Sukunza,2000202561.0,12.25,10.5,10.9,9.81,12.0
Nico Montoro,2000513279.0,12.2,9.85,10.45,9.73,11.9
Rulo,67196228.0,11.2,9.3,11.3,10.0,9.8
Ricki Alonso,2000444088.0,11.95,10.35,12.75,10.88,11.85
Lucas Suárez,67291632.0,9.2,8.5,11.0,10.15,9.2
Carlos Pérez,67277708.0,9.5,9.7,9.7,10.62,8.9
Migue Fernández,2000513270.0,7.5,7.2,8.1,8.77,6.5
Alejandro Preciado,76058677.0,9.2,8.9,8.7,9.38,8.3
Igor Larrazabal,2000201328.0,10.55,10.05,9.35,10.42,8.45
Víctor Manuel Miguélez,2000740958.0,8.55,6.65,7.65,7.0,7.65
Vojo Bešović,2000191918.0,7.75,8.45,8.6,10.23,8.8
Alberto Jiménez,2000712145.0,4.6,6.45,6.35,8.08,4.9
Gorka Merino,2000441525.0,7.4,8.1,7.95,9.08,8.9
Edgar Fernández,2000514789.0,10.6,6.5,9.0,6.85,9.6
Quique Refojos,2000514794.0,10.85,7.45,8.4,7.31,9.1
Sadio Halidou,2000680220.0,11.8,7.9,9.6,7.92,9.9
