Player,UID,Position
Juanma,2000199335,GK
Javier,2000664676,D (RC)
Rafa Marín,2000051886,D (C)
Rodrigo Tarín,67183258,"D (C), DM"
Arnau Solà,67296656,"D (LC), WB (L), DM, M (LC)"
Enrique Pedraza,2000194016,"D (C), DM, M (C)"
Nassim Ramdane,2000572058,"M (C), AM (R), ST (C)"
Eneko Pérez,2000441528,"D (C), DM, M (C)"
Gerardo Rodríguez,2000631751,"M/AM (R), ST (C)"
Yassin Fekir,48036660,"M (LC), AM (RLC), ST (C)"
Juan Dinenno,14083720,ST (C)
Antoni,2000742548,GK
Iago Fernández,2000052986,D (RC)
Cristóbal Guillén,2000438353,"M/AM (R), ST (C)"
Julio Martín,2000679715,"AM (C), ST (C)"
Joshua Ballesté,2000633082,AM (LC)
Julio,2000197814,D/WB (L)
Eugeni,67169241,"DM, M/AM (C)"
Paulo Barros,2000191478,"AM (RL), ST (C)"
Martín Lapeña,67256868,"M (L), AM (RC), ST (C)"
Mohammed Ali,2000633472,ST (C)
Dani García,219036,ST (C)
Laurent Bour,2000570944,D (LC)
