Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Juanma,2000199335.0,4.17,10.62,10.0,9.67,3.83,3.83,6.75,11.17
Javier,2000664676.0,12.33,11.5,15.25,7.83,7.83,8.83,11.5,12.42
Rafa Marín,2000051886.0,11.67,10.75,12.25,6.5,7.67,7.0,16.0,10.33
Rodrigo Tarín,67183258.0,14.33,9.38,8.5,11.17,9.67,10.17,12.5,11.75
Arnau Solà,67296656.0,11.33,13.5,12.5,10.83,7.83,10.83,11.5,11.92
Enrique Pedraza,2000194016.0,12.0,13.0,10.0,7.33,6.5,9.5,14.25,12.33
Nassim Ramdane,2000572058.0,5.0,11.75,14.0,11.0,10.0,13.33,9.0,8.5
Eneko Pérez,2000441528.0,11.67,11.75,10.0,6.67,6.67,6.67,12.5,12.83
Gerardo Rodríguez,2000631751.0,5.5,10.88,14.0,11.17,7.0,16.0,8.0,10.83
Yassin Fekir,48036660.0,4.83,8.88,11.75,12.83,12.17,13.0,5.0,11.08
Juan Dinenno,14083720.0,4.0,8.75,9.5,10.67,14.33,11.0,14.0,13.33
Antoni,2000742548.0,2.5,4.25,12.0,1.5,1.67,1.0,3.5,5.42
Iago Fernández,2000052986.0,11.0,11.25,13.5,7.0,4.0,8.67,5.5,10.92
Cristóbal Guillén,2000438353.0,0.0,11.75,15.5,10.0,10.83,11.83,6.25,6.67
Julio Martín,2000679715.0,0.0,13.38,11.5,9.0,11.67,12.17,8.5,7.5
Joshua Ballesté,2000633082.0,4.33,10.0,12.5,12.67,9.5,12.5,9.75,9.92
Julio,2000197814.0,8.67,11.75,13.0,7.67,7.0,10.67,7.0,11.5
Eugeni,67169241.0,7.67,6.5,7.0,15.67,12.33,12.0,7.0,11.5
Paulo Barros,2000191478.0,0.0,11.38,15.5,11.17,11.17,12.0,7.5,5.75
Martín Lapeña,67256868.0,5.83,9.88,14.0,13.67,11.17,13.0,8.0,10.67
Mohammed Ali,2000633472.0,0.0,11.75,16.0,8.33,13.0,11.67,6.5,7.17
Dani García,219036.0,0.83,11.5,13.0,9.33,12.67,11.33,8.0,10.17
Laurent Bour,2000570944.0,8.0,12.0,13.0,2.67,3.67,7.67,14.0,13.17
