Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Juanma,2000199335,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Javier,2000664676,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Rafa Marín,2000051886,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rodrigo Tarín,67183258,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Arnau Solà,67296656,0,0,1,1,0,1,1,0,1,1,0,0,0,0
Enrique Pedraza,2000194016,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Nassim Ramdane,2000572058,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Eneko Pérez,2000441528,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Gerardo Rodríguez,2000631751,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Yassin Fekir,48036660,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Juan Dinenno,14083720,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Antoni,2000742548,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Iago Fernández,2000052986,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Cristóbal Guillén,2000438353,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Julio Martín,2000679715,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Joshua Ballesté,2000633082,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Julio,2000197814,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Eugeni,67169241,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Paulo Barros,2000191478,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Martín Lapeña,67256868,0,0,0,0,0,0,0,0,0,1,1,1,0,1
Mohammed Ali,2000633472,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Dani García,219036,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Laurent Bour,2000570944,0,0,1,1,0,0,0,0,0,0,0,0,0,0
