Player,UID,FB,WB,IWB,CWB,NNFB
Juanma,2000199335.0,7.55,5.7,8.1,6.15,7.3
Javier,2000664676.0,11.55,10.4,10.95,10.69,11.5
Rafa Marín,2000051886.0,11.1,9.3,10.0,8.92,11.3
Rodrigo Tarín,67183258.0,12.2,10.65,13.05,11.27,11.9
Arnau Solà,67296656.0,12.0,11.3,11.9,11.54,12.05
Enrique Pedraza,2000194016.0,11.5,9.4,11.2,9.92,11.7
Nassim Ramdane,2000572058.0,8.9,9.9,8.1,10.38,7.8
Eneko Pérez,2000441528.0,11.1,9.6,10.1,8.69,11.7
Gerardo Rodríguez,2000631751.0,10.3,10.25,9.3,11.04,8.55
Yassin Fekir,48036660.0,8.8,9.55,9.3,10.46,8.6
Juan Dinenno,14083720.0,10.0,9.1,9.6,9.46,8.7
Antoni,2000742548.0,5.3,3.75,3.65,3.46,3.6
Iago Fernández,2000052986.0,11.2,9.7,10.0,9.69,9.6
Cristóbal Guillén,2000438353.0,5.95,8.65,4.95,9.0,5.05
Julio Martín,2000679715.0,6.9,8.2,5.6,9.19,6.1
Joshua Ballesté,2000633082.0,8.5,8.55,8.3,9.62,6.3
Julio,2000197814.0,10.9,10.4,10.0,10.46,10.0
Eugeni,67169241.0,8.3,8.0,10.3,9.38,7.7
Paulo Barros,2000191478.0,5.75,7.9,5.15,8.54,4.15
Martín Lapeña,67256868.0,10.15,10.15,10.35,10.58,7.75
Mohammed Ali,2000633472.0,6.1,7.8,4.6,8.54,3.7
Dani García,219036.0,7.95,7.95,7.55,8.88,8.05
Laurent Bour,2000570944.0,10.6,7.5,8.0,7.38,10.8
