Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Gregor Kobel,98040383.0,13.5,12.38,10.75,12.83,14.0,10.0,14.5,14.5
César Ramírez,2000194011.0,1.75,13.5,11.0,15.08,3.5,3.0,1.25,2.75
Isak Amundsen,53178292.0,3.75,14.75,13.0,14.08,2.75,1.5,1.75,1.25
Dušan Stojinović,62218369.0,1.5,12.38,12.0,12.0,3.0,3.0,3.5,3.25
Lucas Forsberg,93141098.0,1.75,12.62,16.5,12.42,3.0,2.0,2.5,3.5
Oier Zarraga,67260201.0,2.25,13.38,14.5,13.33,3.0,3.0,2.0,3.5
Óscar Melendo,67214687.0,2.75,13.0,14.0,13.25,2.5,2.5,3.25,1.5
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75
Brais Méndez,67199158.0,2.25,11.38,12.5,12.25,2.25,1.5,2.0,2.5
Jorge De Frutos,67231100.0,2.5,11.5,14.5,12.08,2.75,3.0,2.5,3.0
David,2000441683.0,1.75,13.38,13.5,11.75,2.75,2.0,3.0,3.5
Chumi,95036003.0,2.0,12.25,12.0,13.08,3.0,3.0,2.0,2.5
Cezary Miszta,96122113.0,14.5,11.62,9.0,13.17,11.75,6.5,16.0,13.0
Matías Vargas,14141967.0,2.5,13.75,14.0,12.92,1.75,1.0,2.5,2.0
Ricky-Jade Jones,29236380.0,1.25,13.5,18.0,12.17,2.75,3.0,3.0,2.5
Rami Hajal,93099931.0,2.0,12.88,13.0,11.75,3.0,3.0,2.25,3.25
Guillem Molina,67260507.0,3.25,12.5,15.0,12.75,2.25,2.0,3.0,3.75
Toni Herrero,67277687.0,2.5,12.5,14.0,13.17,2.0,1.0,1.5,2.0
Miguel Menino,83320117.0,2.0,13.38,14.0,12.5,3.0,1.5,2.75,2.75
Tymoteusz Puchacz,96086694.0,3.5,13.88,15.5,12.42,1.75,2.5,4.0,1.75
Carlos,2000202592.0,2.25,13.62,14.25,11.33,3.0,2.5,2.5,3.5
Noé Blasco,2000440885.0,2.0,12.75,14.0,11.5,1.0,1.0,1.5,3.0
Josep,2000513274.0,2.25,15.75,15.0,12.42,2.25,2.5,1.75,3.0
José Luis Ruano,2000572819.0,2.75,12.88,16.5,9.83,2.75,4.0,2.75,1.25
