Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Gregor Kobel,98040383,1,0,0,0,0,0,0,0,0,0,0,0,0,0
César Ramírez,2000194011,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Isak Amundsen,53178292,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Dušan Stojinović,62218369,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lucas Forsberg,93141098,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Oier Zarraga,67260201,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Óscar Melendo,67214687,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Francisco Conceição,83261140,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Brais Méndez,67199158,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Jorge De Frutos,67231100,0,0,0,0,0,0,0,1,0,1,1,0,1,0
David,2000441683,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Chumi,95036003,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Cezary Miszta,96122113,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Matías Vargas,14141967,0,0,0,0,0,0,0,0,0,1,0,1,1,0
0,29236380,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Rami Hajal,93099931,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Guillem Molina,67260507,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Toni Herrero,67277687,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Miguel Menino,83320117,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Tymoteusz Puchacz,96086694,0,0,0,1,0,0,1,0,0,0,1,0,1,0
Carlos,2000202592,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Noé Blasco,2000440885,0,0,0,0,0,0,0,0,0,1,1,0,1,0
Josep,2000513274,0,0,0,1,0,0,1,0,0,0,0,0,0,0
José Luis Ruano,2000572819,0,0,0,0,0,0,0,0,0,0,0,0,1,1
