Player,UID,Position
Gregor Kobel,98040383,GK
César Ramírez,2000194011,"D (RC), WB (R), DM"
Isak Amundsen,53178292,D (RC)
Dušan Stojinović,62218369,D (C)
Lucas Forsberg,93141098,"D (RL), WB (R)"
Oier Zarraga,67260201,M/AM (RC)
Óscar Melendo,67214687,M/AM (RC)
Francisco Conceição,83261140,M/AM (RL)
Brais Méndez,67199158,"M (RC), AM (C)"
Jorge De Frutos,67231100,M/AM (RL)
David,2000441683,"AM (C), ST (C)"
Chumi,95036003,"D (RC), DM"
Cezary Miszta,96122113,GK
Matías Vargas,14141967,"M (L), AM (LC)"
Ricky-Jade Jones,29236380,"AM (RL), ST (C)"
Rami Hajal,93099931,M/AM (C)
Guillem Molina,67260507,D (RC)
Toni Herrero,67277687,"D (LC), WB (L)"
Miguel Menino,83320117,"M (R), AM (RL)"
Tymoteusz Puchacz,96086694,"D/WB (L), AM (RL)"
Carlos,2000202592,"D (C), DM, M (C)"
Noé Blasco,2000440885,"M (L), AM (RL)"
Josep,2000513274,D/WB (L)
José Luis Ruano,2000572819,"AM (L), ST (C)"
