Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Gregor Kobel,98040383.0,12.39,10.3,10.32,9.96,9.76,9.64,9.88,9.54,9.88,9.54
César Ramírez,2000194011.0,13.32,12.63,12.57,12.44,12.66,12.02,12.3,11.93,12.12,11.6
Isak Amundsen,53178292.0,13.05,12.78,12.94,12.57,12.48,12.19,12.14,12.27,12.13,12.04
Dušan Stojinović,62218369.0,12.26,12.1,12.45,11.94,11.93,11.67,11.76,11.66,11.65,11.71
Lucas Forsberg,93141098.0,12.65,12.39,12.22,12.43,11.96,12.02,11.95,12.24,12.1,11.59
Oier Zarraga,67260201.0,12.92,12.75,12.32,12.87,12.73,12.81,12.88,12.91,12.92,12.53
Óscar Melendo,67214687.0,12.83,12.28,11.25,12.73,12.26,13.01,12.74,13.08,13.09,12.25
Francisco Conceição,83261140.0,12.18,11.53,10.47,11.99,11.54,12.51,12.19,12.64,12.55,12.12
Brais Méndez,67199158.0,12.02,12.08,11.14,12.48,12.2,13.04,12.87,12.99,13.07,12.56
Jorge De Frutos,67231100.0,11.48,11.24,10.29,11.65,11.15,12.01,11.56,12.14,11.92,11.6
David,2000441683.0,12.23,11.69,11.14,12.02,11.71,12.32,12.31,12.44,12.62,12.23
Chumi,95036003.0,12.46,11.9,12.31,11.5,11.7,10.98,11.36,10.98,11.18,10.9
Cezary Miszta,96122113.0,12.08,10.38,10.31,10.12,9.91,9.71,10.14,9.56,9.97,9.62
Matías Vargas,14141967.0,13.17,12.56,11.25,13.13,12.52,13.61,13.27,13.69,13.65,12.92
Ricky-Jade Jones,29236380.0,12.51,12.41,11.9,12.75,12.12,12.86,12.46,13.24,13.04,13.25
Rami Hajal,93099931.0,12.08,11.83,11.18,12.07,11.86,12.43,12.35,12.46,12.68,12.25
Guillem Molina,67260507.0,13.4,12.46,13.13,11.93,12.21,11.23,11.7,11.29,11.63,11.37
Toni Herrero,67277687.0,12.91,12.81,12.68,12.85,12.69,12.67,12.57,12.79,12.61,12.31
Miguel Menino,83320117.0,12.56,12.37,11.81,12.73,12.33,13.03,12.62,13.12,12.88,12.76
Tymoteusz Puchacz,96086694.0,12.85,12.49,12.13,12.59,12.19,12.65,12.37,12.74,12.49,12.25
Carlos,2000202592.0,12.43,12.37,12.72,12.16,12.35,11.58,11.89,11.74,11.79,11.54
Noé Blasco,2000440885.0,11.25,11.55,10.77,12.1,11.51,12.44,12.0,12.56,12.32,11.72
Josep,2000513274.0,13.06,12.69,12.46,12.7,12.25,12.09,11.99,12.31,12.11,11.43
José Luis Ruano,2000572819.0,11.97,11.94,11.55,12.29,11.47,12.25,11.86,12.55,12.28,12.0
