Player,UID,DM,AM,BWM,HB,SV,RGA
Gregor Kobel,98040383.0,9.85,10.0,10.0,10.7,9.9,9.65
César Ramírez,2000194011.0,14.3,14.2,14.2,13.35,13.2,12.25
Isak Amundsen,53178292.0,13.45,13.45,13.45,13.4,12.85,10.9
Dušan Stojinović,62218369.0,12.35,12.25,12.25,12.05,12.4,11.15
Lucas Forsberg,93141098.0,12.1,12.05,12.05,11.7,12.2,11.3
Oier Zarraga,67260201.0,12.75,13.0,13.0,13.4,12.6,12.65
Óscar Melendo,67214687.0,10.8,10.7,10.7,10.9,11.4,14.2
Francisco Conceição,83261140.0,9.45,9.0,9.0,10.75,10.65,13.25
Brais Méndez,67199158.0,10.75,10.55,10.55,10.2,11.35,13.85
Jorge De Frutos,67231100.0,10.1,10.25,10.25,10.7,10.45,11.75
David,2000441683.0,9.75,9.6,9.6,9.4,10.45,12.55
Chumi,95036003.0,12.7,12.5,12.5,12.85,12.5,11.05
Cezary Miszta,96122113.0,10.8,10.5,10.5,11.1,11.25,11.3
Matías Vargas,14141967.0,10.75,10.8,10.8,12.0,11.85,14.15
0,29236380.0,10.9,10.8,10.8,11.0,10.7,11.1
Rami Hajal,93099931.0,10.35,9.75,9.75,10.1,10.15,13.05
Guillem Molina,67260507.0,12.85,12.25,12.25,11.85,11.8,11.5
Toni Herrero,67277687.0,13.2,13.1,13.1,13.1,13.3,12.8
Miguel Menino,83320117.0,11.3,11.25,11.25,11.35,11.7,12.55
Tymoteusz Puchacz,96086694.0,11.5,11.45,11.45,12.2,11.5,11.3
Carlos,2000202592.0,13.15,12.6,12.6,12.05,12.8,11.3
Noé Blasco,2000440885.0,10.1,10.5,10.5,10.1,10.3,12.5
Josep,2000513274.0,13.25,12.95,12.95,13.05,11.8,10.9
José Luis Ruano,2000572819.0,10.25,9.95,9.95,10.4,10.65,11.95
