Player,UID,WM,W,DW,IW,IF,WG
Gregor Kobel,98040383.0,7.45,7.65,8.7,8.9,8.0,8.33
César Ramírez,2000194011.0,12.3,11.05,13.3,12.7,12.55,10.79
Isak Amundsen,53178292.0,11.15,11.3,12.7,11.2,11.1,11.67
Dušan Stojinović,62218369.0,11.45,10.75,12.15,11.4,11.0,11.29
Lucas Forsberg,93141098.0,11.15,11.2,11.9,11.4,10.7,11.08
Oier Zarraga,67260201.0,12.6,13.1,12.45,12.9,12.5,12.67
Óscar Melendo,67214687.0,12.95,13.7,11.35,14.1,13.2,12.5
Francisco Conceição,83261140.0,12.05,13.15,9.9,13.45,13.4,11.96
Brais Méndez,67199158.0,13.7,13.25,11.35,14.35,14.2,12.62
Jorge De Frutos,67231100.0,11.85,13.05,10.45,12.1,12.0,11.96
David,2000441683.0,12.0,12.6,9.65,13.5,12.7,12.17
Chumi,95036003.0,9.9,9.45,11.7,10.5,9.95,10.12
Cezary Miszta,96122113.0,8.9,8.6,10.45,10.9,10.55,9.21
Matías Vargas,14141967.0,13.25,14.3,11.5,14.55,14.05,12.83
0,29236380.0,11.7,13.7,10.1,12.3,12.8,13.33
Rami Hajal,93099931.0,11.65,12.35,10.0,13.45,12.95,12.21
Guillem Molina,67260507.0,9.5,9.45,11.35,10.1,9.9,10.12
Toni Herrero,67277687.0,12.6,12.8,13.2,12.8,12.5,12.42
Miguel Menino,83320117.0,12.8,13.65,11.55,13.4,13.2,13.04
Tymoteusz Puchacz,96086694.0,11.95,13.15,11.65,11.55,11.3,12.88
Carlos,2000202592.0,10.8,10.9,11.85,10.95,10.55,10.92
Noé Blasco,2000440885.0,12.5,13.4,11.2,13.1,12.5,12.67
Josep,2000513274.0,11.6,12.75,12.25,11.6,10.9,12.12
José Luis Ruano,2000572819.0,11.05,12.95,10.6,12.25,12.2,12.62
