Player,UID,Position
Andoni Hernández,2000662653,GK
Asier Goñi,2000570279,D (RC)
Eduardo Garai,2000662654,D (RLC)
Aritz Núñez,2000570283,M/AM (R)
Beñat Unzueta,2000629411,"M (C), AM (R)"
Gonzalo Galán,2000681437,"AM (R), ST (C)"
Gorka Alonso,2000629412,AM (RL)
Íñigo Vélez,2000662660,ST (C)
Álex Moreno,2000570281,"AM (R), ST (C)"
José Antón Garrido,2000510692,"M (C), AM (R), ST (C)"
Mikel Castelo,2000510693,"D (LC), WB (L), DM, M (C)"
Koldo Vélez,2000570278,"M/AM (R), ST (C)"
Alfredo Núñez,2000570280,"D (C), DM, M (C)"
Jokin Aguirre,2000628756,D/WB/M (R)
Juan Manuel Díez,2000629228,M/AM (C)
Daniel Tena,2000629406,"D (RC), WB (R), DM"
Aritz Imaz,2000629407,M (C)
Iker Jiménez,2000629408,"D (C), DM, M (C)"
Josu Jauregi,2000629409,"D (C), DM, M (C)"
Fran,2000629410,"D (RL), WB (L)"
Xabier Núñez,2000629413,"AM (RLC), ST (C)"
Didier Oyarzun,2000632730,"M (C), AM (LC)"
Iker Marco,2000632769,D (C)
