Player,UID,DM,AM,BWM,HB,SV,RGA
Andoni Hernández,2000662653.0,8.15,7.45,7.45,9.25,7.9,8.25
Asier Goñi,2000570279.0,10.8,10.4,10.4,11.45,9.6,8.25
Eduardo Garai,2000662654.0,12.4,11.9,11.9,12.15,12.3,11.8
Aritz Núñez,2000570283.0,7.0,7.0,7.0,7.7,7.2,7.95
Beñat Unzueta,2000629411.0,6.05,5.65,5.65,6.75,6.65,8.95
Gonzalo Galán,2000681437.0,8.45,8.45,8.45,9.75,9.25,9.65
Gorka Alonso,2000629412.0,6.2,5.95,5.95,6.05,7.0,8.55
Íñigo Vélez,2000662660.0,6.9,6.0,6.0,8.0,7.95,10.55
Álex Moreno,2000570281.0,4.7,4.7,4.7,4.75,4.8,7.8
José Antón Garrido,2000510692.0,4.25,4.95,4.95,4.9,4.85,6.9
Mikel Castelo,2000510693.0,11.0,11.3,11.3,11.85,10.3,7.2
Koldo Vélez,2000570278.0,9.55,9.25,9.25,9.4,9.6,11.25
Alfredo Núñez,2000570280.0,13.45,13.55,13.55,13.7,11.5,9.75
Jokin Aguirre,2000628756.0,10.0,10.55,10.55,10.75,9.65,8.5
Juan Manuel Díez,2000629228.0,8.15,8.1,8.1,9.55,9.5,11.75
Daniel Tena,2000629406.0,13.0,12.3,12.3,11.75,11.65,9.95
Aritz Imaz,2000629407.0,11.2,11.7,11.7,10.65,11.6,12.6
Iker Jiménez,2000629408.0,12.55,11.75,11.75,12.7,11.9,10.75
Josu Jauregi,2000629409.0,13.55,13.4,13.4,12.3,12.3,11.0
Fran,2000629410.0,11.6,11.45,11.45,12.4,10.85,9.7
Xabier Núñez,2000629413.0,8.15,7.35,7.35,8.25,8.7,11.9
Didier Oyarzun,2000632730.0,9.3,8.9,8.9,11.0,9.8,10.6
Iker Marco,2000632769.0,12.25,12.0,12.0,11.8,11.3,10.3
