Player,UID,AF,CF,DLF,F9,P,PF,TM
Andoni Hernández,2000662653.0,7.5,6.7,8.85,7.25,7.5,8.1,7.65
Asier Goñi,2000570279.0,8.95,7.4,9.35,7.8,8.95,9.55,9.3
Eduardo Garai,2000662654.0,11.55,9.75,10.9,10.8,11.55,10.15,10.55
Aritz Núñez,2000570283.0,10.45,8.0,8.45,9.25,10.45,9.4,8.05
Beñat Unzueta,2000629411.0,10.75,8.4,8.85,9.45,10.75,9.0,8.05
Gonzalo Galán,2000681437.0,12.25,10.0,10.45,10.5,12.25,12.2,9.55
Gorka Alonso,2000629412.0,11.7,8.7,10.65,10.75,11.7,9.45,9.0
Íñigo Vélez,2000662660.0,12.35,10.75,11.25,11.2,12.35,11.4,10.55
Álex Moreno,2000570281.0,9.9,9.2,9.4,9.7,9.9,8.6,9.6
José Antón Garrido,2000510692.0,8.9,8.3,8.5,8.85,8.9,8.8,8.7
Mikel Castelo,2000510693.0,7.0,5.9,6.5,6.0,7.0,8.9,7.35
Koldo Vélez,2000570278.0,13.15,11.05,11.55,11.9,13.15,12.25,10.55
Alfredo Núñez,2000570280.0,8.55,8.55,9.85,7.95,8.55,10.9,9.55
Jokin Aguirre,2000628756.0,10.35,8.5,9.3,8.0,10.35,10.85,9.25
Juan Manuel Díez,2000629228.0,12.1,11.7,13.0,13.3,12.1,11.05,12.05
Daniel Tena,2000629406.0,8.8,7.4,8.95,7.9,8.8,9.05,8.6
Aritz Imaz,2000629407.0,12.9,12.3,14.2,13.0,12.9,12.5,13.35
Iker Jiménez,2000629408.0,10.95,10.7,11.65,10.75,10.95,11.35,10.7
Josu Jauregi,2000629409.0,10.85,10.8,11.5,10.6,10.85,11.4,10.4
Fran,2000629410.0,10.75,9.2,10.85,10.35,10.75,11.3,9.9
Xabier Núñez,2000629413.0,12.25,10.85,12.35,12.5,12.25,10.6,10.75
Didier Oyarzun,2000632730.0,11.6,11.7,12.9,12.45,11.6,12.35,11.3
Iker Marco,2000632769.0,10.0,9.45,10.7,9.05,10.0,9.55,9.85
