Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Thibaut Courtois,18026122,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Takehiro Tomiyasu,45095490,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Boubacar Kamara,48043084,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Éder Militão,19273276,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Angeliño,28095342,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Matías Zeiden,2000272732,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Juan Martín Sancho,2000377686,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Kylian Mbappé,85139014,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Youri Tielemans,18077264,0,0,0,0,0,1,0,0,1,0,0,1,0,0
Raheem Sterling,28054109,0,0,0,0,0,0,0,1,0,1,1,1,1,1
Lê,2000410610,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Vinícius Júnior,19302146,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Francisco Mora,2000437769,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fabrice Mbassi,2000191910,0,1,0,1,0,1,1,0,0,1,0,0,0,0
Abderrahmane Sefrioui,2000433189,0,1,0,0,0,1,0,0,1,0,0,0,0,0
Boris Peters,2000506902,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Zinho Vanheusden,18091405,0,1,1,0,1,1,0,0,0,0,0,0,0,0
Edmond Tapsoba,13196616,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jadon Sancho,28108490,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Odsonne Edouard,48036880,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Pedro Porro,67268221,0,1,0,0,1,0,0,1,0,0,0,0,0,0
Ciprian Trandafir,2000189363,0,0,0,0,1,0,0,1,0,0,1,0,0,0
Andrew Sinclair,2000432933,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Isaac Guerra,2000439269,0,1,0,0,1,1,0,0,1,0,0,0,0,0
Roberto Bonilla,2000569765,0,0,0,0,0,0,0,0,0,0,1,0,1,1
