Player,UID,AMC,AP,T,SS,AM,EG
Thibaut Courtois,18026122.0,11.5,11.3,11.5,10.0,11.1,10.7
Takehiro Tomiyasu,45095490.0,14.1,14.0,14.1,13.2,13.8,13.8
Boubacar Kamara,48043084.0,14.15,13.75,14.15,13.5,14.2,13.75
Éder Militão,19273276.0,13.4,13.1,13.4,12.9,13.4,13.1
Angeliño,28095342.0,14.5,14.5,14.5,14.0,14.4,14.2
Matías Zeiden,2000272732.0,15.75,15.45,15.75,15.5,16.4,15.45
Juan Martín Sancho,2000377686.0,14.5,14.7,14.5,14.8,15.1,15.1
Kylian Mbappé,85139014.0,15.1,15.5,15.1,16.4,16.2,16.1
Youri Tielemans,18077264.0,15.6,15.8,15.6,15.2,15.9,15.4
Raheem Sterling,28054109.0,15.6,15.7,15.6,15.5,15.7,15.6
Lê,2000410610.0,13.9,13.8,13.9,14.45,14.35,14.7
Vinícius Júnior,19302146.0,13.6,13.9,13.6,14.35,14.25,14.4
Francisco Mora,2000437769.0,10.2,9.35,10.2,8.75,9.65,8.55
Fabrice Mbassi,2000191910.0,14.25,14.15,14.25,13.35,14.45,14.15
Abderrahmane Sefrioui,2000433189.0,13.8,13.0,13.8,12.5,13.0,12.8
Boris Peters,2000506902.0,13.2,13.8,13.2,15.1,14.3,14.6
Zinho Vanheusden,18091405.0,13.1,13.0,13.1,11.9,12.4,12.7
Edmond Tapsoba,13196616.0,13.35,13.15,13.35,12.5,13.3,12.8
Jadon Sancho,28108490.0,14.3,14.9,14.3,15.0,15.4,15.4
Odsonne Edouard,48036880.0,13.1,13.0,13.1,13.9,13.4,13.5
Pedro Porro,67268221.0,14.4,14.9,14.4,14.75,15.0,15.2
Ciprian Trandafir,2000189363.0,13.8,13.6,13.8,12.8,13.5,13.4
Andrew Sinclair,2000432933.0,14.25,14.6,14.25,13.85,14.4,14.45
Isaac Guerra,2000439269.0,13.45,13.15,13.45,12.75,13.1,12.55
Roberto Bonilla,2000569765.0,14.65,15.15,14.65,14.85,14.95,15.5
