Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Thibaut Courtois,18026122.0,18.5,8.75,4.5,15.17,15.0,5.0,18.0,16.5
Takehiro Tomiyasu,45095490.0,2.5,15.0,15.0,14.17,2.25,4.0,1.75,1.75
Boubacar Kamara,48043084.0,1.75,15.25,15.5,14.75,3.0,2.5,1.75,2.0
Éder Militão,19273276.0,2.5,15.25,15.0,14.67,2.0,2.0,2.5,2.5
Angeliño,28095342.0,2.5,13.25,12.5,13.83,1.0,1.0,2.5,2.5
Matías Zeiden,2000272732.0,1.5,15.0,14.0,14.42,1.5,1.5,1.75,2.5
Juan Martín Sancho,2000377686.0,2.0,14.5,17.5,12.0,2.5,2.0,2.0,1.5
Kylian Mbappé,85139014.0,1.5,15.25,19.0,14.83,1.5,1.0,1.5,2.5
Youri Tielemans,18077264.0,2.25,12.75,12.0,14.33,2.0,3.0,2.25,2.5
Raheem Sterling,28054109.0,2.5,14.25,14.5,14.33,2.5,2.0,3.0,2.5
Lê,2000410610.0,2.5,15.62,17.0,13.08,3.0,2.0,2.5,1.75
Vinícius Júnior,19302146.0,2.0,13.88,16.5,14.42,2.0,3.0,1.75,1.75
Francisco Mora,2000437769.0,15.0,14.62,8.0,12.5,13.25,2.0,14.0,13.5
Fabrice Mbassi,2000191910.0,2.25,15.5,14.5,14.0,2.0,2.0,2.75,3.0
Abderrahmane Sefrioui,2000433189.0,2.5,17.0,15.0,14.33,2.5,1.0,2.0,2.5
Boris Peters,2000506902.0,1.5,15.0,17.0,11.5,2.0,4.0,2.5,2.0
Zinho Vanheusden,18091405.0,1.5,13.25,13.0,14.0,1.0,1.0,2.0,2.5
Edmond Tapsoba,13196616.0,1.5,14.12,14.0,13.5,1.75,3.0,1.75,2.25
Jadon Sancho,28108490.0,2.75,13.5,16.0,12.0,3.25,2.0,3.25,2.25
Odsonne Edouard,48036880.0,2.5,13.75,12.5,11.83,2.0,1.0,2.0,2.5
Pedro Porro,67268221.0,2.0,15.0,16.0,13.5,1.5,2.0,2.5,2.25
Ciprian Trandafir,2000189363.0,2.5,14.5,15.5,11.83,2.5,2.0,1.25,3.25
Andrew Sinclair,2000432933.0,1.75,14.38,14.0,12.92,2.0,1.0,3.0,3.0
Isaac Guerra,2000439269.0,4.0,14.12,13.0,14.25,2.0,3.5,2.0,1.75
Roberto Bonilla,2000569765.0,3.75,16.0,14.0,13.67,2.25,4.5,2.0,3.5
