Player,UID,DM,AM,BWM,HB,SV,RGA
Unai Goti,2000065885.0,7.7,6.7,6.7,9.2,6.65,6.85
Víctor Dieste,2000440740.0,12.55,12.9,12.9,13.1,11.3,8.8
Rafa Gálvez,67172424.0,11.45,12.0,12.0,11.25,11.3,10.2
Iván Bravo,67276128.0,11.6,12.3,12.3,12.0,11.5,8.8
Mikel Kortazar,67260193.0,6.1,6.0,6.0,8.0,7.5,8.3
Àlex Rico,67295759.0,11.2,11.0,11.0,11.3,11.05,11.7
Fran Manzanara,67211715.0,11.75,12.3,12.3,11.85,11.65,10.85
Omri Hemo,2000440760.0,10.2,10.2,10.2,11.1,9.2,11.1
Francisco Eduardo García,2000198830.0,3.75,3.45,3.45,4.15,5.05,8.05
Victor Pérez,2000572055.0,7.2,7.45,7.45,8.05,8.0,9.65
Ewan,67276233.0,7.0,6.0,6.0,7.1,7.4,10.7
Jorge Sangalli,2000202624.0,4.35,3.3,3.3,4.5,4.5,5.0
Gael Alonso,67294882.0,9.9,9.4,9.4,9.9,8.6,7.2
Alberto Cañizares,2000571806.0,9.55,8.75,8.75,9.05,10.1,11.05
Lorenzo,2000714638.0,4.9,3.5,3.5,6.2,5.4,7.65
Miguel Fernández,67263770.0,9.0,8.4,8.4,9.1,9.4,10.5
Alberto Pereira,2000683136.0,11.15,10.1,10.1,8.9,9.85,7.05
Francisco Tena,67211549.0,5.3,6.35,6.35,7.55,4.95,4.8
Álex Petxarromán,67246376.0,10.5,10.4,10.4,9.8,10.4,8.6
Juan Carlos Chasco,2000574123.0,4.6,4.9,4.9,5.7,6.1,5.2
Jordi Prats,2000202599.0,2.2,1.65,1.65,2.3,3.3,3.5
