Player,UID,CD,BPD,NNCB,Lib
Unai Goti,2000065885.0,7.5,6.55,8.4,5.25
Víctor Dieste,2000440740.0,12.4,10.8,11.85,9.4
Rafa Gálvez,67172424.0,12.5,12.2,11.95,11.25
Iván Bravo,67276128.0,12.3,12.1,12.3,10.2
Mikel Kortazar,67260193.0,6.0,7.0,6.9,7.4
Àlex Rico,67295759.0,9.8,9.7,9.9,11.1
Fran Manzanara,67211715.0,11.7,11.45,11.15,11.2
Omri Hemo,2000440760.0,9.35,8.15,9.15,9.1
Francisco Eduardo García,2000198830.0,3.2,3.85,3.1,5.55
Victor Pérez,2000572055.0,8.05,8.6,8.25,8.5
Ewan,67276233.0,6.5,7.3,6.8,7.9
Jorge Sangalli,2000202624.0,4.5,3.95,4.5,3.95
Gael Alonso,67294882.0,10.6,10.1,11.1,7.9
Alberto Cañizares,2000571806.0,7.85,8.8,7.85,9.35
Lorenzo,2000714638.0,3.95,3.75,4.9,4.9
Miguel Fernández,67263770.0,7.7,8.2,7.8,9.1
Alberto Pereira,2000683136.0,9.35,9.85,9.5,8.15
Francisco Tena,67211549.0,6.95,5.6,6.9,5.1
Álex Petxarromán,67246376.0,10.5,10.2,10.3,9.6
Juan Carlos Chasco,2000574123.0,3.0,5.1,3.8,5.0
Jordi Prats,2000202599.0,2.3,2.95,2.3,2.95
