Player,UID,WM,W,DW,IW,IF,WG
Unai Goti,2000065885.0,5.25,5.2,6.3,6.35,6.35,5.5
Víctor Dieste,2000440740.0,10.85,9.15,11.55,9.2,8.4,9.29
Rafa Gálvez,67172424.0,9.9,7.1,10.75,9.55,8.65,8.33
Iván Bravo,67276128.0,9.8,9.6,11.5,8.6,7.8,9.92
Mikel Kortazar,67260193.0,9.5,10.4,7.2,9.3,9.3,9.75
Àlex Rico,67295759.0,10.25,9.8,10.55,11.55,10.8,9.12
Fran Manzanara,67211715.0,10.75,9.3,11.35,10.9,10.1,9.5
Omri Hemo,2000440760.0,10.5,12.1,9.1,11.9,11.6,11.46
Francisco Eduardo García,2000198830.0,8.85,12.05,3.65,9.95,10.7,11.21
Victor Pérez,2000572055.0,8.8,10.9,7.8,9.85,9.55,11.08
Ewan,67276233.0,9.5,10.3,6.2,11.9,12.5,10.5
Jorge Sangalli,2000202624.0,1.7,0.7,3.65,2.65,2.65,0.58
Gael Alonso,67294882.0,7.4,7.4,8.8,6.8,6.8,8.08
Alberto Cañizares,2000571806.0,10.45,9.7,8.8,11.75,11.75,9.58
Lorenzo,2000714638.0,9.3,10.55,4.35,10.4,11.75,10.0
Miguel Fernández,67263770.0,10.5,10.8,8.8,11.9,11.9,10.33
Alberto Pereira,2000683136.0,6.85,4.1,9.6,6.9,6.9,5.17
Francisco Tena,67211549.0,5.85,5.95,6.0,4.8,4.5,6.71
Álex Petxarromán,67246376.0,8.4,7.5,9.9,8.2,7.4,7.58
Juan Carlos Chasco,2000574123.0,6.7,6.7,6.2,6.9,7.1,6.58
Jordi Prats,2000202599.0,1.85,0.4,2.1,2.4,2.4,0.33
