Player,UID,AMC,AP,T,SS,AM,EG
Unai Goti,2000065885.0,6.85,5.95,6.85,6.35,6.35,4.85
Víctor Dieste,2000440740.0,10.55,9.95,10.55,8.4,9.2,8.2
Rafa Gálvez,67172424.0,10.95,10.15,10.95,8.65,9.55,8.35
Iván Bravo,67276128.0,9.2,8.5,9.2,7.8,8.6,8.1
Mikel Kortazar,67260193.0,8.9,9.2,8.9,9.3,9.3,9.8
Àlex Rico,67295759.0,11.3,11.4,11.3,10.8,11.55,11.05
Fran Manzanara,67211715.0,11.5,11.1,11.5,10.1,10.9,10.0
Omri Hemo,2000440760.0,11.6,12.5,11.6,11.6,11.9,11.9
Francisco Eduardo García,2000198830.0,8.85,10.5,8.85,10.7,9.95,12.45
Victor Pérez,2000572055.0,9.15,9.95,9.15,9.55,9.85,10.5
Ewan,67276233.0,10.5,11.4,10.5,12.5,11.9,11.2
Jorge Sangalli,2000202624.0,2.75,1.7,2.75,2.65,2.65,1.35
Gael Alonso,67294882.0,6.7,6.2,6.7,6.8,6.8,5.5
Alberto Cañizares,2000571806.0,11.85,12.55,11.85,11.75,11.75,11.85
Lorenzo,2000714638.0,9.3,10.4,9.3,11.75,10.4,10.9
Miguel Fernández,67263770.0,11.2,11.9,11.2,11.9,11.9,11.9
Alberto Pereira,2000683136.0,8.0,6.55,8.0,6.9,6.9,4.4
Francisco Tena,67211549.0,5.55,6.3,5.55,4.5,4.8,6.2
Álex Petxarromán,67246376.0,8.4,7.9,8.4,7.4,8.2,7.1
Juan Carlos Chasco,2000574123.0,7.2,7.7,7.2,7.1,6.9,7.4
Jordi Prats,2000202599.0,2.55,1.85,2.55,2.4,2.4,1.7
