Player,UID,AF,CF,DLF,F9,P,PF,TM
Unai Goti,2000065885.0,6.1,4.75,7.35,5.85,6.1,7.4,6.35
Víctor Dieste,2000440740.0,8.0,8.1,9.1,8.0,8.0,9.85,8.85
Rafa Gálvez,67172424.0,6.75,10.55,10.2,8.8,6.75,8.95,10.85
Iván Bravo,67276128.0,9.4,8.5,9.4,8.6,9.4,10.4,9.9
Mikel Kortazar,67260193.0,10.4,9.1,9.6,9.8,10.4,10.3,9.3
Àlex Rico,67295759.0,10.05,9.75,10.9,10.7,10.05,10.0,9.05
Fran Manzanara,67211715.0,9.15,10.7,10.95,9.95,9.15,10.35,10.6
Omri Hemo,2000440760.0,11.6,10.15,11.2,10.8,11.6,12.0,10.05
Francisco Eduardo García,2000198830.0,12.55,9.0,9.7,10.2,12.55,8.7,8.75
Victor Pérez,2000572055.0,11.7,10.7,10.85,10.45,11.7,10.75,10.9
Ewan,67276233.0,11.4,11.3,11.5,11.3,11.4,10.7,10.7
Jorge Sangalli,2000202624.0,3.35,1.6,3.9,3.35,3.35,0.95,2.3
Gael Alonso,67294882.0,8.4,7.2,7.6,7.0,8.4,9.1,8.3
Alberto Cañizares,2000571806.0,9.45,10.4,11.75,10.65,9.45,9.55,10.0
Lorenzo,2000714638.0,11.15,8.65,9.2,9.55,11.15,9.8,7.85
Miguel Fernández,67263770.0,10.3,11.1,11.3,11.1,10.3,10.4,9.7
Alberto Pereira,2000683136.0,3.95,5.05,5.7,4.6,3.95,6.35,5.25
Francisco Tena,67211549.0,3.25,5.4,3.7,4.1,3.25,5.5,5.8
Álex Petxarromán,67246376.0,8.3,7.4,9.1,8.1,8.3,8.0,7.8
Juan Carlos Chasco,2000574123.0,4.6,7.0,4.7,5.0,4.6,7.8,5.3
Jordi Prats,2000202599.0,2.35,1.85,3.15,2.8,2.35,0.55,2.25
