Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Josema,2000438803.0,6.85,5.27,5.65,5.01,5.07,4.95,5.03,4.96,4.84,5.03
Atakan Karazor,92074021.0,11.28,11.0,11.33,10.73,10.98,10.54,10.9,10.4,10.62,10.52
Mikel Bengoetxea,2000510871.0,12.57,12.23,12.29,11.86,12.01,11.18,11.76,11.36,11.49,10.9
Diego,2000574102.0,12.07,10.59,11.04,9.96,10.24,9.12,9.81,9.03,9.37,8.76
Álex Lillo,2000438804.0,10.28,10.47,10.09,10.58,10.8,10.67,11.27,10.51,11.18,10.46
Iñaki Díez,2000438806.0,9.9,10.23,9.11,10.95,9.95,11.47,10.75,11.77,11.13,10.83
Antxón Arregi,2000570451.0,9.08,8.99,7.99,9.43,8.87,10.19,10.23,10.31,10.68,10.63
Javier Zubizarreta,2000570450.0,10.59,10.36,8.6,10.96,9.9,11.3,10.6,11.56,11.11,10.46
Víctor Sarriegi,2000570454.0,11.04,10.67,9.92,11.04,10.64,11.6,11.14,11.7,11.55,11.74
Noel López,2000053498.0,9.6,9.58,9.03,9.96,9.14,10.4,9.64,10.69,10.47,11.35
Peio Arana,2000438809.0,11.86,11.71,11.1,11.93,11.39,12.0,11.81,12.13,12.02,11.35
Iñigo Llorente,2000510870.0,11.68,10.59,10.15,10.53,10.35,10.13,10.24,10.32,10.22,9.14
Lander Goñi,2000510872.0,9.82,9.96,8.94,10.19,10.31,10.59,10.79,10.64,11.03,10.39
Asier Galán,2000510874.0,8.12,8.37,6.83,9.19,7.59,9.64,8.59,10.24,9.46,9.59
Adrián Iglesias,2000510876.0,4.18,6.27,5.31,7.27,5.98,7.8,7.22,8.5,7.76,7.88
Iosu Pérez,2000510877.0,12.39,10.96,10.85,10.62,10.72,9.85,10.46,9.86,10.15,9.07
Ignacio Amorrortu,2000629736.0,7.4,7.79,6.87,8.28,7.29,8.89,8.37,9.24,9.02,10.03
Gorka Santamaría,2000629739.0,10.23,10.37,9.92,10.73,10.03,11.07,10.54,11.35,10.91,11.2
Marcos Goñi,2000629740.0,9.65,8.58,7.52,8.77,8.37,9.42,9.54,9.52,9.87,9.17
