Player,UID,Position
Josema,2000438803,GK
Atakan Karazor,92074021,"D (C), DM, M (C)"
Mikel Bengoetxea,2000510871,"D (RC), DM, M (C)"
Diego,2000574102,"D (LC), M (L)"
Álex Lillo,2000438804,M (C)
Iñaki Díez,2000438806,"M (R), AM (RL)"
Antxón Arregi,2000570451,"AM (C), ST (C)"
Javier Zubizarreta,2000570450,D/M/AM (L)
Víctor Sarriegi,2000570454,"M (R), AM (RLC), ST (C)"
Noel López,2000053498,ST (C)
Peio Arana,2000438809,"M (LC), AM (L)"
Iñigo Llorente,2000510870,D/AM (R)
Lander Goñi,2000510872,"DM, M/AM (C)"
Asier Galán,2000510874,"AM (RL), ST (C)"
Adrián Iglesias,2000510876,M/AM (L)
Iosu Pérez,2000510877,"D (RC), DM, M (C)"
Ignacio Amorrortu,2000629736,ST (C)
Gorka Santamaría,2000629739,"M (R), AM (RL), ST (C)"
Marcos Goñi,2000629740,"M (C), AM (LC)"
