Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Josema,2000438803.0,1.17,5.38,8.0,1.5,2.5,2.5,6.75,5.58
Atakan Karazor,92074021.0,11.67,9.75,9.0,10.67,10.17,10.33,13.5,13.42
Mikel Bengoetxea,2000510871.0,13.33,14.25,13.0,9.0,6.67,8.67,13.5,14.5
Diego,2000574102.0,11.5,10.88,8.0,6.17,4.17,6.83,11.0,12.58
Álex Lillo,2000438804.0,8.0,10.75,10.5,13.0,10.0,11.33,9.5,10.83
Iñaki Díez,2000438806.0,3.83,10.88,15.25,12.17,9.5,13.33,8.0,10.75
Antxón Arregi,2000570451.0,0.0,12.0,9.5,13.33,13.33,14.83,11.5,7.33
Javier Zubizarreta,2000570450.0,2.33,12.25,15.25,11.17,9.5,11.5,5.25,11.75
Víctor Sarriegi,2000570454.0,2.5,11.75,13.0,13.0,13.0,13.17,11.25,12.58
Noel López,2000053498.0,0.67,10.5,13.5,9.67,13.0,11.67,14.5,8.17
Peio Arana,2000438809.0,8.67,12.0,13.5,10.67,9.0,13.67,9.0,12.0
Iñigo Llorente,2000510870.0,8.83,12.38,13.0,3.5,3.0,10.67,4.5,11.42
Lander Goñi,2000510872.0,4.0,10.5,11.75,13.0,9.83,12.5,8.25,10.92
Asier Galán,2000510874.0,0.0,13.38,17.0,6.5,10.0,10.33,6.0,4.08
Adrián Iglesias,2000510876.0,0.0,5.25,14.0,8.33,6.67,13.5,8.75,2.0
Iosu Pérez,2000510877.0,10.5,14.5,10.5,7.83,3.17,6.17,7.5,11.75
Ignacio Amorrortu,2000629736.0,0.0,11.0,12.5,7.67,14.33,12.0,11.5,7.0
Gorka Santamaría,2000629739.0,5.67,10.25,13.5,9.33,11.33,13.0,12.0,10.17
Marcos Goñi,2000629740.0,0.0,11.88,9.5,12.33,10.67,9.67,8.5,9.58
