Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Josema,2000438803.0,8.5,6.5,7.5,13.0,13.5,7.5,0.0,7.5,0.0,3.5,9.5,0.0,0.0,0.0,0.0,4.5,0.0,11.5,7.0,0.0,0.0,0.0,0.0,5.5,5.5,7.5,7.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,15.5,9.0,8.5,8.5,11.5,15.5,7.0,13.5,12.5,10.5,9.5,22.0
Atakan Karazor,92074021.0,7.0,9.0,11.0,9.0,15.0,13.0,7.0,18.5,10.0,12.0,12.0,4.0,6.0,5.0,7.0,13.0,11.0,14.0,12.0,5.0,6.0,12.0,12.0,9.0,11.0,9.0,11.0,14.0,11.0,13.0,17.5,8.0,11.0,13.0,11.0,8.0,3.5,2.0,5.0,2.0,2.5,3.0,2.0,2.0,3.0,4.0,5.0,32.0
Mikel Bengoetxea,2000510871.0,12.0,14.0,14.0,16.0,14.0,10.0,9.0,12.0,15.0,11.0,14.0,4.0,7.0,0.0,8.0,10.0,7.0,12.0,11.0,7.0,5.0,16.0,13.0,11.0,13.0,15.0,13.0,18.0,13.0,12.0,19.0,0.0,3.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Diego,2000574102.0,9.5,8.5,6.5,13.5,16.5,8.0,4.0,9.0,15.5,14.5,13.5,11.5,6.5,0.0,3.5,9.5,8.5,11.5,17.5,5.5,3.5,9.5,5.5,17.5,15.5,9.5,10.0,4.0,10.5,5.5,13.5,0.0,7.5,12.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Álex Lillo,2000438804.0,12.0,7.0,9.0,10.0,14.0,17.0,5.0,11.0,11.0,10.0,6.0,10.0,0.0,10.0,9.0,17.0,12.0,11.0,14.0,10.0,6.0,8.0,5.0,18.0,9.0,16.0,9.0,12.0,6.0,16.0,13.0,6.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
Iñaki Díez,2000438806.0,15.0,14.0,15.5,12.0,10.0,16.0,14.0,10.0,10.0,4.5,3.5,13.5,11.5,4.5,14.0,13.5,10.0,10.0,8.0,5.0,13.5,4.5,6.0,8.5,8.5,9.5,10.0,17.0,2.5,9.5,17.5,15.5,9.5,6.5,5.0,12.0,3.5,2.5,5.0,1.0,4.5,2.5,1.5,1.0,2.0,2.5,3.0,22.0
Antxón Arregi,2000570451.0,9.0,16.0,10.0,11.0,13.0,12.0,15.0,12.0,12.0,0.0,0.0,0.0,0.0,10.0,18.0,11.0,17.5,0.0,15.0,10.0,16.0,0.0,10.0,4.0,10.0,12.0,8.0,13.0,0.0,13.0,6.0,4.0,0.0,8.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Javier Zubizarreta,2000570450.0,17.5,11.5,13.0,10.5,3.5,13.5,12.5,12.5,14.5,0.0,7.5,8.5,0.0,6.5,9.5,17.0,8.5,7.5,11.5,5.5,8.5,7.0,7.0,10.5,16.5,16.5,6.5,13.5,0.0,8.0,14.0,11.5,3.5,14.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Víctor Sarriegi,2000570454.0,11.5,13.5,14.5,7.5,12.0,15.5,13.5,18.0,7.5,0.0,7.0,9.5,0.0,7.5,13.5,12.5,10.5,14.5,13.5,5.5,14.0,7.5,10.5,6.5,7.5,12.5,13.5,16.5,0.0,12.5,16.5,9.5,11.5,12.5,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Noel López,2000053498.0,15.0,14.0,12.0,8.0,17.0,9.0,14.0,12.0,12.0,0.0,8.0,6.0,0.0,13.0,14.0,8.0,12.0,13.0,13.0,8.0,15.0,2.0,12.0,8.0,2.0,9.0,7.0,7.0,0.0,6.0,6.0,6.0,4.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
