Player,UID,DM,AM,BWM,HB,SV,RGA
Josema,2000438803.0,5.2,4.5,4.5,5.6,5.7,4.35
Atakan Karazor,92074021.0,12.05,12.6,12.6,11.75,12.45,11.3
Mikel Bengoetxea,2000510871.0,14.0,14.8,14.8,14.0,12.9,10.0
Diego,2000574102.0,12.95,12.55,12.55,13.45,11.5,9.55
Álex Lillo,2000438804.0,9.8,9.7,9.7,10.5,10.7,11.8
Iñaki Díez,2000438806.0,8.25,9.2,9.2,8.9,8.65,10.25
Antxón Arregi,2000570451.0,5.2,4.3,4.3,5.1,5.8,10.25
Javier Zubizarreta,2000570450.0,7.9,8.15,8.15,9.45,9.0,9.15
Víctor Sarriegi,2000570454.0,8.75,9.05,9.05,8.8,9.0,11.35
Noel López,2000053498.0,6.9,6.2,6.2,6.6,7.2,9.8
Peio Arana,2000438809.0,11.2,11.2,11.2,10.6,11.1,11.6
Iñigo Llorente,2000510870.0,11.05,10.95,10.95,10.35,10.2,7.5
Lander Goñi,2000510872.0,8.2,7.55,7.55,9.35,8.65,11.0
Asier Galán,2000510874.0,4.4,4.75,4.75,6.0,5.25,5.15
Adrián Iglesias,2000510876.0,3.6,3.25,3.25,3.9,5.15,6.5
Iosu Pérez,2000510877.0,12.65,12.45,12.45,13.35,11.2,9.25
Ignacio Amorrortu,2000629736.0,4.5,5.6,5.6,5.6,5.2,6.7
Gorka Santamaría,2000629739.0,8.6,8.7,8.7,8.2,9.3,9.8
Marcos Goñi,2000629740.0,5.75,5.15,5.15,6.9,5.1,8.3
