,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,GK_abis,Aerial,0.0,7.0,11.0,13.0,14.0,18.5
1,GK_abis,Awareness,0.83,2.67,3.83,6.33,9.33,14.0
2,GK_abis,Clearing,0.0,0.0,0.0,0.0,1.0,3.0
3,GK_abis,Closing,2.25,6.5,8.75,9.5,11.0,13.5
4,GK_abis,Control,1.0,2.0,3.75,4.25,6.25,13.0
5,GK_abis,Creativity,3.5,5.67,7.33,8.0,8.67,10.67
6,GK_abis,Crossing,1.0,1.5,3.17,4.67,6.67,8.33
7,GK_abis,Decision,2.25,5.25,6.5,10.5,11.5,14.75
8,GK_abis,Defensive,2.25,6.5,8.75,9.5,11.0,13.5
9,GK_abis,Dribbling,0.0,0.0,0.0,2.5,4.0,5.5
10,GK_abis,Focus,5.0,7.5,8.0,9.0,10.5,13.5
11,GK_abis,Endeavour,0.62,3.0,5.5,9.0,10.75,14.12
12,GK_abis,Intelligence,2.1,3.5,4.8,6.6,8.8,11.6
13,GK_abis,Marking,1.5,4.33,6.0,6.33,7.67,9.0
14,GK_abis,Mobility,3.62,8.25,9.88,10.5,11.12,13.25
15,GK_abis,Movement,3.5,5.83,8.0,10.33,11.0,13.17
16,GK_abis,Off The Ball,0.0,0.0,0.0,0.0,2.0,3.5
17,GK_abis,Passing,1.5,2.25,4.75,7.0,8.5,12.5
18,GK_abis,Physical,1.75,6.5,8.0,10.0,11.0,13.75
19,GK_abis,Shooting,0.0,0.0,0.0,1.67,3.33,5.0
20,GK_abis,Tackling,0.0,0.0,0.0,0.0,1.0,3.5
