Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Emrah Ağın,2000244749,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Odilon Kossounou,93127195,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Didier,2000509916,0,1,1,0,1,1,0,0,1,0,0,0,0,0
Iván Muñoz,67295020,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Oriol Busquets,67225653,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Andrés Torres,2000628761,0,0,0,0,0,0,0,1,1,0,0,1,0,0
Luis Vicente,2000438000,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Samuel Chukwueze,67269484,0,0,0,0,0,0,0,1,0,0,1,0,1,0
Javi Ontiveros,67211745,0,0,0,0,0,0,0,1,0,1,1,1,1,0
Faustino,2000438001,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Mohamed Cisse,2000509917,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Carles,2000192884,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmytro Smalyukh,2000461897,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Gianfranco Giuffrè,2000272929,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Óliver Pueyo,2000569557,0,0,0,0,0,1,0,0,1,0,0,0,0,0
John Córdoba,2000416582,0,0,0,0,0,0,0,0,1,0,1,1,1,0
Abdul Mumin,27128916,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maxence Caqueret,48044737,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alfonso Pedraza,67212046,0,0,0,1,0,0,1,0,0,1,0,0,1,0
Manu Morlanes,67228802,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fernando Niño,67258829,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Francisco Conceição,83261140,0,0,0,0,0,0,0,1,0,1,1,0,1,0
Wanderson Bastos,2000410491,0,1,0,1,1,0,0,0,0,0,0,0,0,0
Yesinguer Vinasco,2000415655,0,0,0,0,0,0,0,0,1,0,0,1,0,1
José Vicente Muñoz,2000509912,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Álex,2000509919,0,0,0,0,0,0,0,1,0,0,1,0,0,1
