Player,UID,Position
Emrah Ağın,2000244749,GK
Odilon Kossounou,93127195,"D (RC), WB (R), DM, M (C)"
Didier,2000509916,"D (RC), WB (R), DM, M (C)"
Iván Muñoz,67295020,D (LC)
Oriol Busquets,67225653,"D (C), DM, M (C)"
Andrés Torres,2000628761,"M (RC), AM (C)"
Luis Vicente,2000438000,"DM, M (C)"
Samuel Chukwueze,67269484,"M (R), AM (RL)"
Javi Ontiveros,67211745,"M (RL), AM (RLC)"
Faustino,2000438001,"AM (RC), ST (C)"
Mohamed Cisse,2000509917,"M (C), AM (RC), ST (C)"
Carles,2000192884,GK
Dmytro Smalyukh,2000461897,D (RLC)
Gianfranco Giuffrè,2000272929,M/AM (R)
Óliver Pueyo,2000569557,"DM, M (C)"
John Córdoba,2000416582,"M (C), AM (RLC)"
Abdul Mumin,27128916,D (C)
Maxence Caqueret,48044737,"DM, M (C)"
Alfonso Pedraza,67212046,D/WB/M/AM (L)
Manu Morlanes,67228802,"DM, M (C)"
Fernando Niño,67258829,ST (C)
Francisco Conceição,83261140,M/AM (RL)
Wanderson Bastos,2000410491,"D (RL), WB (R)"
Yesinguer Vinasco,2000415655,"M/AM (C), ST (C)"
José Vicente Muñoz,2000509912,GK
Álex,2000509919,"M/AM (R), ST (C)"
