Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Emrah Ağın,2000244749.0,15.0,12.38,11.25,14.17,14.75,11.0,13.5,12.5
Odilon Kossounou,93127195.0,2.25,12.75,14.25,13.33,2.25,2.5,2.75,3.0
Didier,2000509916.0,2.0,15.75,15.0,14.17,1.0,1.0,1.5,2.0
Iván Muñoz,67295020.0,2.5,13.12,14.0,13.0,2.0,3.0,1.75,2.75
Oriol Busquets,67225653.0,2.75,13.5,13.5,13.83,2.5,4.5,1.75,3.25
Andrés Torres,2000628761.0,3.0,13.75,15.0,11.5,1.5,2.0,2.0,1.5
Luis Vicente,2000438000.0,2.0,16.0,14.5,14.17,2.0,1.0,2.0,3.0
Samuel Chukwueze,67269484.0,2.25,14.0,16.0,12.33,2.0,1.5,3.25,2.25
Javi Ontiveros,67211745.0,1.0,12.5,14.5,11.67,1.0,3.0,2.5,1.5
Faustino,2000438001.0,2.0,15.75,17.0,11.67,1.5,2.0,2.0,3.0
Mohamed Cisse,2000509917.0,2.5,13.5,15.0,11.08,2.5,3.0,2.25,3.5
Carles,2000192884.0,13.25,12.38,10.5,12.83,12.5,7.5,15.0,12.5
Dmytro Smalyukh,2000461897.0,1.75,14.25,13.5,14.0,3.0,4.0,3.25,2.5
Gianfranco Giuffrè,2000272929.0,2.5,13.12,15.0,11.17,2.5,2.0,3.0,2.5
Óliver Pueyo,2000569557.0,2.75,13.62,12.25,14.5,3.25,4.0,2.75,2.25
John Córdoba,2000416582.0,3.0,15.25,14.0,11.67,2.0,2.5,2.75,1.75
Abdul Mumin,27128916.0,1.5,14.75,14.5,13.0,3.5,3.0,3.0,2.5
Maxence Caqueret,48044737.0,3.5,13.0,11.5,13.17,2.0,3.5,3.0,2.0
Alfonso Pedraza,67212046.0,3.0,12.75,12.5,13.92,2.5,4.0,2.0,2.0
Manu Morlanes,67228802.0,3.0,13.88,14.0,12.75,3.0,1.5,1.75,1.75
Fernando Niño,67258829.0,2.0,11.88,13.0,13.58,2.0,1.5,3.0,2.5
Francisco Conceição,83261140.0,3.25,12.12,13.5,12.33,2.0,2.5,3.0,1.75
Wanderson Bastos,2000410491.0,3.25,14.0,14.5,13.42,1.75,2.0,2.0,1.5
Yesinguer Vinasco,2000415655.0,2.0,13.88,13.0,11.33,3.0,1.5,2.5,1.5
José Vicente Muñoz,2000509912.0,9.5,11.5,12.25,11.83,11.75,2.0,14.0,12.0
Álex,2000509919.0,1.75,12.38,15.5,12.5,2.0,3.5,2.25,3.0
