,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DM_attrs,Acc,4.5,11.0,12.0,13.0,14.0,16.0
1,DM_attrs,Agi,6.0,11.5,13.0,14.0,15.0,19.0
2,DM_attrs,Pac,3.5,11.0,12.5,13.5,14.5,18.5
3,DM_attrs,Wor,8.0,12.0,13.0,14.0,15.5,19.0
4,DM_attrs,Jum,3.0,8.0,11.0,13.0,15.0,18.0
5,DM_attrs,Fir,5.0,11.0,12.0,13.0,14.5,19.0
6,DM_attrs,Dri,4.0,7.5,9.0,10.5,12.0,16.0
7,DM_attrs,Cmp,6.0,10.0,12.0,13.0,14.5,19.0
8,DM_attrs,Sta,5.5,12.0,13.0,15.0,15.5,17.0
9,DM_attrs,Pos,7.0,12.0,13.0,14.0,15.0,18.0
10,DM_attrs,Cnt,3.0,11.5,13.0,14.0,15.0,18.0
11,DM_attrs,Fre,2.0,5.5,7.0,8.5,11.0,15.5
12,DM_attrs,Cor,2.0,5.5,7.0,8.0,10.0,17.0
13,DM_attrs,Fin,2.5,6.0,7.0,8.0,9.5,15.0
14,DM_attrs,OtB,4.5,8.0,10.0,11.5,13.0,17.5
15,DM_attrs,Pas,6.0,12.0,13.0,14.0,15.0,19.0
16,DM_attrs,Tec,5.0,10.5,12.5,13.5,15.0,18.5
17,DM_attrs,Ant,9.5,12.5,14.0,15.0,16.0,18.5
18,DM_attrs,Dec,9.5,12.5,13.5,15.0,15.5,18.0
19,DM_attrs,Lon,1.5,7.5,9.5,11.0,12.0,16.5
20,DM_attrs,Fla,2.5,7.0,9.0,11.0,13.0,18.0
21,DM_attrs,Tck,6.0,12.0,13.0,13.0,15.0,18.0
22,DM_attrs,Hea,3.5,9.0,10.0,11.0,14.0,18.0
23,DM_attrs,Agg,3.0,9.5,11.5,13.0,14.5,19.0
24,DM_attrs,Bra,4.0,10.5,12.5,14.0,16.0,19.0
25,DM_attrs,Bal,7.0,11.0,13.0,14.0,16.0,19.0
26,DM_attrs,Str,4.0,11.0,12.0,13.0,14.0,17.0
27,DM_attrs,Det,6.0,12.0,13.5,14.5,16.0,19.5
28,DM_attrs,Mar,5.0,11.0,12.0,13.0,14.0,18.0
29,DM_attrs,Vis,3.5,11.0,12.0,13.5,15.0,19.0
30,DM_attrs,Tea,6.5,11.5,13.0,14.0,15.5,19.0
31,DM_attrs,Cro,3.5,6.0,7.5,8.5,10.0,14.0
32,DM_attrs,Ldr,2.0,8.0,10.0,12.0,13.5,19.0
33,DM_attrs,Nat,6.0,12.5,14.0,14.5,16.0,20.0
34,DM_attrs,L Th,1.5,4.0,6.0,7.0,9.0,15.0
35,DM_attrs,Pen,1.5,6.5,7.5,9.0,10.5,16.0
36,DM_attrs,Aer,1.0,2.0,2.0,2.5,3.0,5.5
37,DM_attrs,Cmd,1.0,1.5,2.0,2.5,3.0,5.0
38,DM_attrs,Com,1.0,1.5,2.0,2.5,3.0,5.0
39,DM_attrs,Ecc,1.0,1.5,2.0,2.5,3.0,5.0
40,DM_attrs,Han,1.0,1.5,2.0,2.5,3.0,5.0
41,DM_attrs,Kic,1.0,2.0,2.0,2.5,3.0,4.5
42,DM_attrs,Pun,1.0,2.0,2.0,2.5,3.0,5.5
43,DM_attrs,1v1,1.0,1.5,2.0,2.5,3.0,5.5
44,DM_attrs,Ref,1.0,1.5,2.0,2.5,3.0,4.5
45,DM_attrs,TRO,1.0,1.5,2.0,2.5,3.0,6.0
46,DM_attrs,Thr,1.0,2.0,2.0,2.5,3.0,5.5
47,DM_attrs,Age,17.0,22.0,25.0,29.0,31.0,38.0
