,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,AMR_abis,Aerial,2.0,6.0,8.0,11.0,13.0,20.0
1,AMR_abis,Awareness,8.5,11.0,12.17,12.83,13.83,16.0
2,AMR_abis,Clearing,3.0,7.0,8.0,9.0,11.0,16.0
3,AMR_abis,Closing,7.0,9.5,10.5,11.25,12.0,14.75
4,AMR_abis,Control,10.0,12.75,14.0,14.5,16.0,17.5
5,AMR_abis,Creativity,9.0,11.83,13.0,13.67,14.33,18.17
6,AMR_abis,Crossing,8.33,11.83,12.67,13.33,14.33,16.67
7,AMR_abis,Decision,8.0,11.0,12.0,13.0,13.5,17.0
8,AMR_abis,Defensive,7.0,9.5,10.5,11.25,12.0,14.75
9,AMR_abis,Dribbling,8.5,12.75,13.75,14.5,15.5,18.0
10,AMR_abis,Focus,7.25,10.5,11.5,12.25,13.5,17.0
11,AMR_abis,Endeavour,7.5,10.25,11.25,12.0,13.25,16.62
12,AMR_abis,Intelligence,9.2,11.6,12.6,13.3,14.1,16.9
13,AMR_abis,Marking,6.17,8.0,8.83,9.5,10.83,14.0
14,AMR_abis,Mobility,9.88,13.5,14.5,15.12,15.75,18.25
15,AMR_abis,Movement,8.67,11.17,12.33,13.0,13.67,16.17
16,AMR_abis,Off The Ball,8.5,12.0,13.5,14.5,15.5,20.0
17,AMR_abis,Passing,9.0,12.5,13.5,14.0,15.5,17.5
18,AMR_abis,Physical,7.0,11.0,12.0,13.0,14.0,16.75
19,AMR_abis,Shooting,7.33,10.67,11.67,12.67,13.67,15.67
20,AMR_abis,Tackling,2.0,4.5,6.0,7.0,9.0,14.0
