,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,ML_abis,Aerial,3.0,6.0,7.0,9.0,11.0,16.0
1,ML_abis,Awareness,8.5,10.83,12.33,13.0,14.0,16.67
2,ML_abis,Clearing,3.0,7.0,8.0,9.0,10.0,15.0
3,ML_abis,Closing,6.5,9.0,10.25,11.0,12.0,15.0
4,ML_abis,Control,10.0,12.75,14.0,14.75,15.5,18.0
5,ML_abis,Creativity,7.33,12.0,12.83,13.67,14.33,16.0
6,ML_abis,Crossing,9.0,12.0,12.83,13.83,14.67,16.67
7,ML_abis,Decision,8.0,11.25,12.25,13.0,13.75,17.0
8,ML_abis,Defensive,6.5,9.0,10.25,11.0,12.0,15.0
9,ML_abis,Dribbling,10.0,12.75,13.75,14.5,15.5,17.5
10,ML_abis,Focus,7.25,10.5,11.5,12.25,13.25,16.5
11,ML_abis,Endeavour,8.75,10.25,11.0,12.38,13.5,15.75
12,ML_abis,Intelligence,8.2,11.4,12.6,13.3,14.1,15.5
13,ML_abis,Marking,6.0,7.5,8.83,9.83,11.33,14.67
14,ML_abis,Mobility,7.12,13.12,13.75,14.5,15.5,16.75
15,ML_abis,Movement,8.33,11.17,12.33,13.0,14.0,16.5
16,ML_abis,Off The Ball,8.5,12.0,13.0,14.0,15.0,20.0
17,ML_abis,Passing,9.0,12.5,13.5,14.75,15.5,18.0
18,ML_abis,Physical,7.0,10.5,11.25,12.0,13.25,16.0
19,ML_abis,Shooting,8.0,10.0,11.33,12.33,13.33,15.33
20,ML_abis,Tackling,2.0,4.5,6.0,8.0,11.0,17.0
