,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,DL_abis,Aerial,4.0,7.0,10.0,12.0,14.0,17.0
1,DL_abis,Awareness,7.83,11.67,12.17,13.0,14.0,15.33
2,DL_abis,Clearing,3.0,8.0,10.0,11.0,13.0,17.0
3,DL_abis,Closing,8.75,11.5,12.0,13.0,13.75,16.5
4,DL_abis,Control,7.5,10.25,12.0,12.5,13.25,18.0
5,DL_abis,Creativity,9.67,11.33,12.0,12.83,13.67,15.67
6,DL_abis,Crossing,6.0,10.17,11.67,12.17,13.0,16.67
7,DL_abis,Decision,9.5,12.5,13.25,13.75,14.5,17.75
8,DL_abis,Defensive,8.75,11.5,12.0,13.0,13.75,16.5
9,DL_abis,Dribbling,6.5,9.5,11.0,12.0,13.0,16.0
10,DL_abis,Focus,10.0,11.5,12.5,13.0,14.0,15.5
11,DL_abis,Endeavour,8.75,11.88,12.75,13.38,14.0,16.0
12,DL_abis,Intelligence,9.4,11.4,12.1,12.7,13.4,14.9
13,DL_abis,Marking,8.0,11.5,12.0,12.67,13.5,15.33
14,DL_abis,Mobility,8.62,12.88,13.5,14.25,15.0,17.75
15,DL_abis,Movement,10.0,12.67,13.17,13.83,14.67,17.5
16,DL_abis,Off The Ball,3.5,8.5,10.0,11.5,13.0,18.5
17,DL_abis,Passing,6.0,11.0,12.0,12.75,13.5,17.0
18,DL_abis,Physical,8.5,11.25,12.25,13.0,14.5,16.0
19,DL_abis,Shooting,5.83,7.83,9.0,9.83,10.5,14.0
20,DL_abis,Tackling,6.0,11.0,13.0,13.0,15.0,18.0
