Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
José Aurelio Suárez,67153377.0,11.35,9.5,9.95,10.65,11.15,9.45,9.6,10.6
Carlos Fernando,2000194985.0,13.3,12.25,12.8,12.9,13.35,11.85,12.05,13.35
Luis Muñoz,90065199.0,11.25,10.05,12.25,11.1,11.1,9.3,9.7,12.4
Karim Pérez,2000193717.0,10.55,9.1,13.45,11.8,11.75,8.55,9.9,12.8
Jan Crettaz,2000571662.0,12.7,11.9,14.5,13.4,13.3,12.0,12.8,13.6
Kepa Uriarte,67277833.0,11.95,12.4,9.8,12.6,12.55,13.35,13.2,11.25
Saúl Rodríguez,2000440182.0,11.4,11.8,9.7,12.3,11.9,13.0,13.4,10.6
Tòfol Montiel,43459237.0,12.4,12.7,8.8,12.5,12.6,13.8,13.8,11.0
Matías Cavalleri,75049257.0,12.75,12.8,10.2,12.8,12.75,13.65,13.5,11.45
Alberto Barace,2000663353.0,12.9,12.5,10.0,12.2,11.9,13.4,13.7,10.7
Ismael Gutiérrez,67298778.0,12.6,12.2,11.1,12.05,12.8,11.9,12.35,12.65
Saúl,2000664224.0,9.85,8.1,9.75,8.05,9.05,7.7,8.2,9.05
Mirko Ladrón de Guevara,14197826.0,13.05,12.45,11.35,12.5,12.7,13.25,13.15,12.15
Salva Gutiérrez,2000571656.0,12.3,12.0,10.6,12.8,13.2,13.05,12.7,11.95
Iago Salamanca,2000710728.0,12.3,11.85,9.7,13.0,12.3,12.5,13.1,11.1
Nabil Touaizi,28113829.0,12.2,12.8,10.2,12.95,12.7,13.3,14.05,11.55
Joaquín Correa,14042683.0,13.1,13.1,10.2,13.25,13.0,13.6,14.25,11.25
Leander Dendoncker,18057380.0,12.15,11.35,12.65,11.85,12.0,10.75,10.7,12.75
Tommaso Augello,43096264.0,12.45,12.65,12.45,13.15,12.9,12.15,11.5,13.25
Pape Gueye,48043484.0,12.0,11.9,11.9,13.1,12.9,11.85,12.85,12.55
Enock Kwateng,85134692.0,11.95,12.2,12.7,12.25,12.1,11.45,11.4,12.95
Nicolas Pépé,85136376.0,11.85,12.15,8.35,11.9,11.45,13.7,13.6,10.0
Xabier Santamaría,2000202642.0,11.95,12.0,10.0,12.9,12.35,12.75,13.0,11.05
Tasos Chatzigiovanis,36096701.0,9.75,10.3,8.8,10.45,10.45,11.45,10.8,9.45
Acyr,2000408996.0,14.65,13.75,13.15,14.0,13.6,12.7,12.7,14.3
Ricardo,2000443686.0,10.7,10.7,10.1,10.95,10.6,11.3,12.05,9.95
Dani,2000571661.0,11.7,10.35,12.9,11.05,11.65,9.8,9.9,11.7
