Player,UID,WM,W,DW,IW,IF,WG
José Aurelio Suárez,67153377.0,7.75,7.4,8.5,9.5,9.15,7.58
Carlos Fernando,2000194985.0,11.7,11.6,12.9,12.2,11.4,11.33
Luis Muñoz,90065199.0,9.8,9.1,11.4,9.95,9.8,9.5
Karim Pérez,2000193717.0,10.8,11.15,12.0,10.3,10.35,11.79
Jan Crettaz,2000571662.0,12.4,12.0,13.2,13.0,12.9,11.92
Kepa Uriarte,67277833.0,12.45,12.95,10.3,13.4,13.15,12.71
Saúl Rodríguez,2000440182.0,11.6,14.1,9.4,12.7,12.8,13.58
Tòfol Montiel,43459237.0,12.3,13.1,9.9,13.6,13.4,12.17
Matías Cavalleri,75049257.0,12.25,13.45,10.6,13.4,13.15,12.29
Alberto Barace,2000663353.0,11.8,12.8,9.9,13.0,13.0,12.92
Ismael Gutiérrez,67298778.0,11.6,10.65,12.0,12.25,11.8,10.08
Saúl,2000664224.0,6.1,6.45,7.9,7.3,6.45,6.67
Mirko Ladrón de Guevara,14197826.0,12.2,12.05,11.55,12.8,11.95,11.79
Salva Gutiérrez,2000571656.0,11.95,11.4,10.8,13.0,12.1,10.58
Iago Salamanca,2000710728.0,11.95,13.35,10.05,13.65,13.85,13.04
Nabil Touaizi,28113829.0,12.3,13.3,10.3,13.75,13.8,13.17
Joaquín Correa,14042683.0,12.3,13.4,9.9,14.35,14.1,12.67
Leander Dendoncker,18057380.0,11.3,10.45,12.55,10.9,10.95,11.04
Tommaso Augello,43096264.0,12.9,11.65,13.35,12.1,12.15,10.96
Pape Gueye,48043484.0,12.45,12.45,11.9,12.9,12.05,12.12
Enock Kwateng,85134692.0,12.25,12.1,13.2,11.7,11.35,11.83
Nicolas Pépé,85136376.0,11.7,13.05,9.15,12.95,12.75,12.38
Xabier Santamaría,2000202642.0,11.45,12.55,9.65,12.9,12.75,11.75
Tasos Chatzigiovanis,36096701.0,10.45,11.85,9.7,11.05,10.65,10.96
Acyr,2000408996.0,13.1,10.8,13.6,12.85,12.7,10.58
Ricardo,2000443686.0,10.4,13.2,9.6,11.45,11.5,12.83
Dani,2000571661.0,9.85,9.9,11.3,9.3,9.0,10.12
