Player,UID,Position
José Aurelio Suárez,67153377,GK
Carlos Fernando,2000194985,D/WB (R)
Luis Muñoz,90065199,"D (RC), DM, M (C)"
Karim Pérez,2000193717,"D (RC), DM, M (C)"
Jan Crettaz,2000571662,"DM, M (LC)"
Kepa Uriarte,67277833,"M (LC), AM (L)"
Saúl Rodríguez,2000440182,"M (L), AM (RLC), ST (C)"
Tòfol Montiel,43459237,"AM (RLC), ST (C)"
Matías Cavalleri,75049257,M/AM (RL)
Alberto Barace,2000663353,"AM (R), ST (C)"
Ismael Gutiérrez,67298778,"DM, M (C)"
Saúl,2000664224,GK
Mirko Ladrón de Guevara,14197826,"DM, M (C)"
Salva Gutiérrez,2000571656,M/AM (C)
Iago Salamanca,2000710728,"AM (C), ST (C)"
Nabil Touaizi,28113829,"AM (RLC), ST (C)"
Joaquín Correa,14042683,"M (LC), AM (RLC), ST (C)"
Leander Dendoncker,18057380,"D (C), DM, M (C)"
Tommaso Augello,43096264,D/WB/M (L)
Pape Gueye,48043484,"DM, M (C)"
Enock Kwateng,85134692,"D (RC), WB (R)"
Nicolas Pépé,85136376,"M (R), AM (RL)"
Xabier Santamaría,2000202642,"D/M (R), AM (RC)"
Tasos Chatzigiovanis,36096701,M/AM (RL)
Acyr,2000408996,"D (RL), WB (L)"
Ricardo,2000443686,"AM (L), ST (C)"
Dani,2000571661,D (C)
