Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
José Aurelio Suárez,67153377.0,12.25,11.88,9.5,11.92,10.5,7.5,11.0,12.5
Carlos Fernando,2000194985.0,1.5,14.25,12.75,14.25,2.25,3.5,3.0,2.5
Luis Muñoz,90065199.0,2.75,10.75,11.0,13.75,2.0,2.5,1.75,2.25
Karim Pérez,2000193717.0,3.75,14.38,12.5,12.92,2.25,1.5,2.25,2.25
Jan Crettaz,2000571662.0,2.5,14.75,13.0,13.83,3.25,3.0,2.25,2.0
Kepa Uriarte,67277833.0,2.25,13.38,14.5,9.75,2.75,2.5,2.25,1.75
Saúl Rodríguez,2000440182.0,2.0,13.5,16.0,12.0,1.5,2.0,3.0,3.0
Tòfol Montiel,43459237.0,2.0,12.0,13.5,11.67,1.5,2.0,2.5,2.5
Matías Cavalleri,75049257.0,2.25,12.62,14.5,11.92,3.25,2.5,1.75,2.25
Alberto Barace,2000663353.0,1.5,12.0,14.5,12.0,3.5,2.0,1.5,2.5
Ismael Gutiérrez,67298778.0,3.5,11.5,13.5,12.83,2.25,4.5,2.75,2.0
Saúl,2000664224.0,14.0,9.88,7.25,12.83,11.25,6.0,12.75,9.0
Mirko Ladrón de Guevara,14197826.0,2.0,12.62,13.0,11.75,3.0,1.0,3.5,3.5
Salva Gutiérrez,2000571656.0,1.25,11.62,12.5,12.08,3.0,1.0,3.75,3.25
Iago Salamanca,2000710728.0,3.75,10.62,11.25,12.08,3.0,3.5,1.5,2.75
Nabil Touaizi,28113829.0,3.5,13.5,14.5,10.33,2.25,4.5,2.75,2.0
Joaquín Correa,14042683.0,3.5,10.25,12.0,13.0,2.25,2.5,2.0,2.25
Leander Dendoncker,18057380.0,3.0,10.25,9.5,13.08,2.5,2.0,3.0,1.5
Tommaso Augello,43096264.0,2.0,10.0,9.5,13.25,2.75,2.5,2.75,2.0
Pape Gueye,48043484.0,3.25,12.12,13.25,12.0,2.0,4.5,2.5,2.5
Enock Kwateng,85134692.0,4.0,11.88,11.5,13.25,2.75,2.5,1.75,1.5
Nicolas Pépé,85136376.0,1.75,10.38,13.0,10.0,2.25,2.5,2.5,2.75
Xabier Santamaría,2000202642.0,2.0,12.88,12.0,10.58,2.75,2.5,2.0,2.75
Tasos Chatzigiovanis,36096701.0,2.5,11.12,15.0,9.42,2.5,2.0,3.25,2.25
Acyr,2000408996.0,3.0,9.0,6.5,15.75,2.5,3.0,1.75,2.0
Ricardo,2000443686.0,3.25,13.25,16.5,11.0,2.5,4.5,2.75,1.25
Dani,2000571661.0,4.0,13.0,10.25,12.75,2.0,2.0,2.75,2.25
