Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
José Aurelio Suárez,67153377,11.39,9.7,9.7,9.47,9.54,9.54,9.37,9.27,9.27,9.57,9.19,9.19,9.48,8.94
Carlos Fernando,2000194985,13.45,12.75,12.75,12.52,12.59,12.59,12.32,12.14,12.14,12.2,12.28,12.28,12.19,11.46
Luis Muñoz,90065199,12.37,11.3,11.3,11.67,10.81,10.81,11.01,10.23,10.23,10.48,10.28,10.28,10.32,9.99
Karim Pérez,2000193717,12.45,12.04,12.04,12.43,11.64,11.64,11.75,11.01,11.01,11.27,11.12,11.12,11.06,10.93
Jan Crettaz,2000571662,13.22,13.14,13.14,13.07,13.06,13.06,13.2,12.73,12.73,12.87,12.82,12.82,12.83,12.52
Kepa Uriarte,67277833,12.18,12.17,12.17,11.52,12.54,12.54,11.86,12.82,12.82,12.55,12.92,12.92,12.82,12.5
Saúl Rodríguez,2000440182,12.03,11.72,11.72,10.71,12.21,12.21,11.3,12.69,12.69,12.05,12.95,12.95,12.67,12.71
Tòfol Montiel,43459237,11.4,11.43,11.43,10.28,11.98,11.98,11.47,12.55,12.55,12.18,12.68,12.68,12.66,12.23
Matías Cavalleri,75049257,12.4,11.78,11.78,10.57,12.28,12.28,11.49,12.69,12.69,12.17,12.84,12.84,12.62,12.08
Alberto Barace,2000663353,12.25,11.93,11.93,11.64,12.19,12.19,11.69,12.49,12.49,12.2,12.59,12.59,12.61,12.81
Ismael Gutiérrez,67298778,12.53,12.31,12.31,12.06,12.19,12.19,12.54,12.15,12.15,12.46,12.16,12.16,12.36,11.27
Saúl,2000664224,11.58,8.72,8.72,8.77,8.14,8.14,8.29,7.87,7.87,8.09,7.66,7.66,8.07,7.18
Mirko Ladrón de Guevara,14197826,12.08,12.16,12.16,11.9,12.3,12.3,12.23,12.29,12.29,12.42,12.3,12.3,12.45,12.02
Salva Gutiérrez,2000571656,11.13,11.25,11.25,10.57,11.6,11.6,11.62,11.8,11.8,12.1,11.77,11.77,12.06,11.16
Iago Salamanca,2000710728,10.96,11.04,11.04,10.55,11.35,11.35,11.2,11.84,11.84,11.77,11.9,11.9,12.09,12.17
Nabil Touaizi,28113829,12.42,12.37,12.37,11.92,12.63,12.63,12.26,12.93,12.93,12.72,13.13,13.13,13.06,13.08
Joaquín Correa,14042683,11.23,10.91,10.91,10.1,11.42,11.42,11.06,12.0,12.0,11.88,12.02,12.02,12.21,11.94
Leander Dendoncker,18057380,11.68,11.33,11.33,11.81,10.98,10.98,11.39,10.79,10.79,11.21,10.52,10.52,10.81,10.83
Tommaso Augello,43096264,11.37,11.32,11.32,11.23,11.29,11.29,11.51,11.3,11.3,11.54,11.09,11.09,11.09,10.65
Pape Gueye,48043484,11.68,11.92,11.92,11.92,12.01,12.01,12.13,11.82,11.82,12.17,11.95,11.95,12.06,11.39
Enock Kwateng,85134692,12.42,12.05,12.05,12.02,11.93,11.93,11.94,11.67,11.67,11.75,11.6,11.6,11.52,11.05
Nicolas Pépé,85136376,10.57,10.69,10.69,9.85,11.19,11.19,10.87,11.91,11.91,11.53,11.95,11.95,11.98,11.9
Xabier Santamaría,2000202642,11.43,10.93,10.93,10.09,11.37,11.37,10.86,11.65,11.65,11.47,11.63,11.63,11.7,11.34
Tasos Chatzigiovanis,36096701,10.19,10.54,10.54,9.55,11.02,11.02,10.27,11.32,11.32,10.79,11.56,11.56,11.22,10.61
Acyr,2000408996,12.05,11.45,11.45,11.43,11.1,11.1,11.73,11.01,11.01,11.46,10.7,10.7,11.03,10.51
Ricardo,2000443686,11.83,11.51,11.51,11.03,11.86,11.86,10.98,11.92,11.92,11.3,12.28,12.28,11.91,11.91
Dani,2000571661,12.38,11.27,11.27,11.37,10.91,10.91,10.93,10.49,10.49,10.6,10.3,10.3,10.45,10.02
