Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Rasmus Jönsson,2000397710.0,13.14,13.0,12.15,13.48,12.84,13.87,13.6,14.16,14.07,13.61
Olexandr Zinchenko,71081391.0,12.86,12.47,11.76,12.62,12.35,12.83,12.72,12.86,12.82,12.31
Ryan Gravenberch,37071197.0,14.78,14.53,14.2,14.65,14.4,14.83,14.75,14.81,14.88,14.77
Teun Koopmeiners,37057982.0,14.63,14.17,14.01,14.09,14.12,13.9,14.24,13.82,13.98,13.29
Ibrahim Zagré,2000435828.0,13.86,13.71,13.36,14.01,13.63,14.32,14.23,14.47,14.52,14.88
Manuel Oliveira,2000434824.0,14.06,14.16,13.57,14.59,14.0,14.95,14.51,15.17,14.98,14.95
Kenedy,2000410526.0,15.85,14.88,14.16,15.04,14.55,14.94,14.87,15.04,14.96,14.09
Amar Forsberg,2000397706.0,14.4,13.86,14.42,13.4,13.48,12.65,13.14,12.73,12.82,12.79
Sorin Tudor,2000335174.0,14.29,13.86,14.45,13.43,13.53,12.64,12.99,12.76,12.76,12.55
Nicolai Witt,2000322718.0,14.32,13.99,14.07,13.74,13.74,13.36,13.51,13.4,13.4,13.12
Carlos Soler,67196204.0,13.58,13.52,13.17,13.75,13.62,13.87,13.92,13.88,13.97,13.67
Eduardo Camavinga,49056243.0,14.98,14.7,14.7,14.64,14.83,14.37,14.78,14.4,14.64,14.03
Manuel Locatelli,43167354.0,14.51,14.14,14.02,14.1,14.36,14.05,14.41,13.96,14.27,13.72
Duško Čikić,2000191147.0,14.77,14.33,14.31,14.16,14.16,13.77,13.88,13.83,13.88,13.46
Nuno Mendes,83261910.0,14.45,14.45,14.26,14.56,14.35,14.5,14.3,14.62,14.38,14.13
Andrea Papetti,43425644.0,14.18,13.84,14.11,13.63,13.54,13.27,13.38,13.37,13.43,13.44
Karl-Heinz Heckenberger,2000232571.0,14.14,13.84,13.34,14.0,14.07,14.24,14.4,14.18,14.54,14.35
Gianluigi Donnarumma,43252073.0,14.92,12.31,12.27,11.8,11.74,11.1,11.36,11.09,11.31,10.8
Morten Sørensen,2000189231.0,13.18,11.08,10.6,10.77,10.82,10.48,11.03,10.2,10.77,9.52
Mamoudou Camara,2000197834.0,13.18,12.57,11.59,13.06,12.45,13.33,12.96,13.59,13.48,13.56
Nico Williams,67276230.0,12.97,13.39,12.91,13.64,13.24,13.82,13.49,14.05,13.87,13.75
Marco Alves,2000189590.0,15.6,15.0,14.76,14.74,14.76,14.3,14.4,14.38,14.44,13.85
Romelu Lukaku,18007344.0,13.77,13.1,12.85,13.16,13.15,13.44,13.46,13.37,13.54,14.09
Juan Guerra,2000511832.0,11.82,12.19,11.38,12.56,12.56,12.92,13.03,12.97,13.12,12.22
Jhonatan Mejía,2000415671.0,14.75,14.55,13.79,14.89,14.71,15.07,15.19,15.15,15.35,14.53
Luís Ricardo,2000410716.0,13.65,13.64,12.72,14.05,13.55,14.25,14.18,14.49,14.41,13.87
Michele Ceccarelli,2000323829.0,13.25,10.73,10.59,10.36,10.2,9.87,10.0,9.81,10.12,9.27
Alfredo Piecenti,2000272907.0,16.0,14.59,14.84,14.26,14.11,13.81,13.81,13.89,13.88,13.78
Abdulaziz Yılmazer,2000433229.0,14.18,13.98,13.2,14.38,13.61,14.61,14.09,14.83,14.5,14.2
Juan Carlos,2000192885.0,12.71,13.17,12.34,13.6,13.29,14.02,13.9,14.18,14.15,13.86
Luciano Puglisi,2000191663.0,15.45,14.98,14.88,14.93,14.77,14.74,14.69,14.78,14.69,14.22
Youssoufa Moukoko,2000074825.0,14.49,14.39,13.7,14.73,14.23,15.02,14.92,15.27,15.28,15.36
Thiago Almada,14172522.0,13.08,12.93,11.76,13.46,13.07,13.85,13.75,13.9,14.06,13.38
