Player,UID,Acc,Agi,Pac,Wor,Jum,Fir,Dri,Cmp,Sta,Pos,Cnt,Fre,Cor,Fin,OtB,Pas,Tec,Ant,Dec,Lon,Fla,Tck,Hea,Agg,Bra,Bal,Str,Det,Mar,Vis,Tea,Cro,Ldr,Nat,L Th,Pen,Aer,Cmd,Com,Ecc,Han,Kic,Pun,1v1,Ref,TRO,Thr,Age
Rasmus Jönsson,2000397710.0,18.0,18.0,18.0,13.0,14.0,18.0,15.0,11.0,13.0,7.0,9.0,10.0,9.0,8.0,14.0,16.0,16.0,14.0,15.0,10.0,15.0,5.0,10.0,16.0,9.0,14.0,12.0,15.0,5.0,15.0,9.0,10.0,8.0,12.0,7.0,9.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,3.0,1.0,23.0
Olexandr Zinchenko,71081391.0,13.0,16.0,14.0,15.0,9.0,14.0,11.0,13.0,13.0,9.0,13.0,12.0,11.0,9.0,13.0,13.0,14.0,14.0,13.0,11.0,13.0,9.0,11.0,12.0,14.0,14.0,9.0,16.0,9.0,13.0,16.0,12.0,6.0,14.0,6.0,10.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,3.0,31.0
Ryan Gravenberch,37071197.0,15.0,17.0,14.0,14.0,18.0,16.0,15.0,16.0,15.0,12.0,15.0,15.0,15.0,11.0,17.0,16.0,16.0,15.0,16.0,13.0,16.0,11.0,13.0,6.0,13.0,16.0,13.0,14.0,10.0,16.0,14.0,14.0,12.0,12.0,5.0,11.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,26.0
Teun Koopmeiners,37057982.0,12.0,16.0,14.0,16.0,13.0,15.0,10.0,14.0,16.0,15.0,15.0,16.0,11.0,8.0,11.0,16.0,14.0,13.0,16.0,12.0,8.0,12.0,11.0,12.0,13.0,16.0,15.0,18.0,13.0,15.0,15.0,12.0,16.0,17.0,3.0,16.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,30.0
Ibrahim Zagré,2000435828.0,15.0,15.0,15.0,17.0,15.0,15.0,17.0,16.0,16.0,12.0,11.0,11.0,12.0,16.0,14.0,14.0,14.0,17.0,14.0,13.0,14.0,4.0,17.0,10.0,10.0,15.0,15.0,14.0,7.0,16.0,13.0,11.0,13.0,15.0,7.0,13.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,2.0,21.0
Manuel Oliveira,2000434824.0,18.0,17.0,16.0,13.0,15.0,17.0,19.0,15.0,14.0,12.0,11.0,16.0,14.0,12.0,17.0,13.0,18.0,14.0,16.0,13.0,16.0,7.0,12.0,9.0,7.0,19.0,13.0,19.0,9.0,14.0,15.0,14.0,8.0,10.0,7.0,10.0,3.0,2.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,4.0,22.0
Kenedy,2000410526.0,18.0,20.0,16.0,17.0,12.0,14.0,14.0,13.0,17.0,12.0,14.0,4.0,5.0,6.0,16.0,17.0,12.0,15.0,16.0,7.0,12.0,12.0,9.0,10.0,18.0,19.0,12.0,17.0,10.0,16.0,14.0,12.0,17.0,14.0,10.0,9.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,22.0
Amar Forsberg,2000397706.0,12.0,14.0,16.0,15.0,18.0,15.0,6.0,13.0,15.0,19.0,16.0,6.0,6.0,4.0,10.0,11.0,11.0,15.0,14.0,6.0,4.0,14.0,16.0,16.0,13.0,15.0,17.0,20.0,14.0,11.0,14.0,6.0,6.0,15.0,12.0,9.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,23.0
Sorin Tudor,2000335174.0,13.0,15.0,15.0,15.0,20.0,10.0,9.0,8.0,17.0,18.0,14.0,7.0,5.0,5.0,12.0,11.0,9.0,15.0,13.0,9.0,10.0,18.0,13.0,16.0,16.0,15.0,14.0,17.0,15.0,11.0,13.0,7.0,14.0,13.0,6.0,8.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,23.0
Nicolai Witt,2000322718.0,13.0,17.0,15.0,15.0,19.0,13.0,10.0,15.0,15.0,13.0,15.0,7.0,7.0,5.0,10.0,11.0,15.0,14.0,14.0,9.0,10.0,16.0,12.0,14.0,11.0,19.0,15.0,15.0,13.0,11.0,18.0,7.0,9.0,12.0,12.0,7.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,23.0
Carlos Soler,67196204.0,14.0,15.0,15.0,15.0,10.0,14.0,13.0,14.0,14.0,13.0,13.0,11.0,13.0,14.0,14.0,16.0,15.0,15.0,13.0,13.0,14.0,10.0,11.0,13.0,12.0,13.0,14.0,15.0,12.0,15.0,12.0,13.0,15.0,15.0,10.0,16.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,31.0
Eduardo Camavinga,49056243.0,15.0,17.0,15.0,16.0,13.0,16.0,13.0,16.0,15.0,17.0,14.0,6.0,8.0,8.0,14.0,15.0,16.0,17.0,15.0,10.0,13.0,16.0,10.0,12.0,13.0,15.0,13.0,16.0,15.0,15.0,12.0,8.0,16.0,15.0,5.0,8.0,3.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,26.0
Manuel Locatelli,43167354.0,13.0,15.0,14.0,15.0,14.0,16.0,12.0,14.0,13.0,15.0,15.0,8.0,11.0,10.0,14.0,16.0,16.0,16.0,14.0,13.0,14.0,15.0,11.0,15.0,16.0,14.0,14.0,16.0,12.0,17.0,14.0,11.0,14.0,17.0,8.0,11.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,30.0
