Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Rasmus Jönsson,2000397710,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Olexandr Zinchenko,71081391,0,0,0,1,0,0,1,1,1,1,1,1,1,0
Ryan Gravenberch,37071197,0,0,0,0,0,1,0,0,1,0,0,1,1,0
Teun Koopmeiners,37057982,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Ibrahim Zagré,2000435828,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Manuel Oliveira,2000434824,0,0,0,0,0,0,0,0,0,1,1,0,1,1
Kenedy,2000410526,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Amar Forsberg,2000397706,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Sorin Tudor,2000335174,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nicolai Witt,2000322718,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Soler,67196204,0,0,0,0,1,1,0,1,1,0,1,1,1,0
Eduardo Camavinga,49056243,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Manuel Locatelli,43167354,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Duško Čikić,2000191147,0,0,1,0,0,1,0,1,1,0,0,0,0,0
Nuno Mendes,83261910,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Andrea Papetti,43425644,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Karl-Heinz Heckenberger,2000232571,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Gianluigi Donnarumma,43252073,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Morten Sørensen,2000189231,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mamoudou Camara,2000197834,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Nico Williams,67276230,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Marco Alves,2000189590,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Romelu Lukaku,18007344,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Juan Guerra,2000511832,0,0,0,0,0,1,0,1,1,0,1,1,0,0
Jhonatan Mejía,2000415671,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Luís Ricardo,2000410716,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Michele Ceccarelli,2000323829,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo Piecenti,2000272907,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abdulaziz Yılmazer,2000433229,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Juan Carlos,2000192885,0,0,0,0,0,0,0,1,0,0,1,1,0,1
Luciano Puglisi,2000191663,0,1,1,0,1,0,0,0,0,1,0,0,0,0
Youssoufa Moukoko,2000074825,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Thiago Almada,14172522,0,0,0,0,0,0,0,0,1,0,1,1,1,1
