Player,UID,FB,WB,IWB,CWB,NNFB
Mauricio Morán,2000192669.0,9.5,6.8,8.7,6.88,9.6
Juan Ángel Muñoz,2000512204.0,12.75,10.85,12.15,10.38,12.55
Junior Esparragoza,2000179937.0,13.25,11.4,12.75,10.77,13.75
Ricardo Peralta,2000438819.0,13.65,11.15,11.65,10.35,13.1
Josep,2000513274.0,13.45,12.9,11.85,12.0,13.15
Ramiro Gabarri,2000198124.0,9.75,10.35,9.85,11.27,8.65
Luis Nsambi,2000631649.0,11.15,10.8,11.25,11.58,9.3
Mamadou Coly,2000440193.0,10.3,11.25,9.75,11.27,9.45
Francisco Jesús Carbonell,2000440196.0,12.65,11.85,13.25,12.42,11.7
Alberto,2000512206.0,10.75,11.5,11.2,12.08,9.65
Raúl De Tomás,67156425.0,9.5,9.8,10.2,10.62,8.75
Guillermo Centurión,78095397.0,8.65,6.35,8.6,7.54,8.75
Gustavo Zamora,2000512210.0,10.1,9.95,10.0,10.88,8.05
Bright Adjei,2000660374.0,11.3,10.5,10.8,11.46,9.7
Álex Olmedo,2000034591.0,9.8,9.4,10.4,10.62,9.5
Antonio Sánchez,67272744.0,11.7,10.9,11.2,10.62,11.55
Kike Barja,67196202.0,10.95,11.25,11.15,11.73,10.15
Sem Westerveld,37079077.0,6.7,4.5,6.0,4.92,7.9
Fali,67155014.0,11.7,10.0,12.05,10.35,12.45
Chema Nuñez,67232678.0,10.2,10.5,11.05,11.12,9.7
Fran Pérez,95078306.0,10.4,10.9,10.4,11.92,9.35
Diego Moreno,2000024303.0,13.2,13.25,11.75,12.54,12.05
Ezequiel Aranda,14246685.0,11.3,11.05,10.45,11.96,10.0
Ángel Luis Arcas,2000571805.0,13.3,11.75,12.65,11.81,11.85
