Player,UID,Position
Mauricio Morán,2000192669,GK
Juan Ángel Muñoz,2000512204,"D (RC), DM"
Junior Esparragoza,2000179937,"D (C), WB (R), DM"
Ricardo Peralta,2000438819,D (C)
Josep,2000513274,D/WB (L)
Ramiro Gabarri,2000198124,"M (LC), AM (RLC)"
Luis Nsambi,2000631649,M/AM (C)
Mamadou Coly,2000440193,M/AM (R)
Francisco Jesús Carbonell,2000440196,M/AM (C)
Alberto,2000512206,"M (L), AM (RLC)"
Raúl De Tomás,67156425,"AM (RLC), ST (C)"
Guillermo Centurión,78095397,GK
Gustavo Zamora,2000512210,M/AM (C)
Bright Adjei,2000660374,"AM (C), ST (C)"
Álex Olmedo,2000034591,"DM, M/AM (C)"
Antonio Sánchez,67272744,"D (C), DM, M (C)"
Kike Barja,67196202,M/AM (RL)
Sem Westerveld,37079077,GK
Fali,67155014,"D (C), DM"
Chema Nuñez,67232678,"M (C), AM (RLC), ST (C)"
Fran Pérez,95078306,M/AM (RL)
Diego Moreno,2000024303,D (R)
Ezequiel Aranda,14246685,ST (C)
Ángel Luis Arcas,2000571805,"D/WB/M (R), AM (C)"
