Player,UID,CD,BPD,NNCB,Lib
Mauricio Morán,2000192669.0,8.65,7.8,8.5,6.9
Juan Ángel Muñoz,2000512204.0,13.5,12.2,12.8,11.05
Junior Esparragoza,2000179937.0,13.35,12.85,13.45,11.65
Ricardo Peralta,2000438819.0,13.85,11.9,13.0,10.35
Josep,2000513274.0,11.55,10.95,11.95,11.15
Ramiro Gabarri,2000198124.0,8.1,9.1,8.0,10.3
Luis Nsambi,2000631649.0,10.2,10.2,9.0,11.8
Mamadou Coly,2000440193.0,8.4,8.95,8.45,9.35
Francisco Jesús Carbonell,2000440196.0,11.35,11.95,11.1,12.95
Alberto,2000512206.0,9.1,10.1,8.75,10.9
Raúl De Tomás,67156425.0,9.6,10.1,9.15,11.1
Guillermo Centurión,78095397.0,8.35,8.05,8.45,7.95
Gustavo Zamora,2000512210.0,7.95,8.85,7.65,11.0
Bright Adjei,2000660374.0,9.9,10.1,8.7,11.2
Álex Olmedo,2000034591.0,8.4,9.4,8.9,11.1
Antonio Sánchez,67272744.0,11.1,10.75,10.85,10.9
Kike Barja,67196202.0,9.7,9.8,9.35,11.75
Sem Westerveld,37079077.0,7.4,6.5,7.8,5.1
Fali,67155014.0,13.3,12.4,13.05,11.95
Chema Nuñez,67232678.0,8.75,9.35,8.95,11.4
Fran Pérez,95078306.0,9.35,10.6,9.35,11.05
Diego Moreno,2000024303.0,11.65,11.3,11.15,11.45
Ezequiel Aranda,14246685.0,10.6,10.7,9.6,10.8
Ángel Luis Arcas,2000571805.0,12.8,12.1,11.85,12.55
