Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Mauricio Morán,2000192669.0,9.85,8.0,10.45,9.55,10.25,8.0,8.8,10.05
Juan Ángel Muñoz,2000512204.0,11.65,10.75,12.75,11.5,12.2,10.4,10.65,12.55
Junior Esparragoza,2000179937.0,10.9,10.75,13.45,11.3,11.4,9.95,10.7,12.75
Ricardo Peralta,2000438819.0,11.2,9.55,14.0,11.95,11.85,8.9,9.5,13.15
Josep,2000513274.0,11.5,10.85,13.05,12.1,11.9,10.85,11.8,12.25
Ramiro Gabarri,2000198124.0,11.8,11.75,9.05,11.9,11.8,13.0,13.75,10.2
Luis Nsambi,2000631649.0,13.3,12.05,10.45,13.3,13.6,13.5,14.2,11.95
Mamadou Coly,2000440193.0,9.7,10.25,9.2,10.4,10.4,11.55,11.75,9.55
Francisco Jesús Carbonell,2000440196.0,14.05,13.6,12.1,13.95,14.35,13.65,14.3,13.85
Alberto,2000512206.0,12.0,11.95,10.2,12.6,12.7,13.4,13.55,11.35
Raúl De Tomás,67156425.0,12.45,12.8,9.6,12.1,11.9,13.15,12.8,11.15
Guillermo Centurión,78095397.0,10.5,8.95,9.4,9.9,10.55,8.75,9.4,9.85
Gustavo Zamora,2000512210.0,11.9,11.65,8.6,12.1,12.0,12.95,14.0,10.25
Bright Adjei,2000660374.0,12.7,11.7,10.8,13.6,13.2,12.8,13.2,11.9
Álex Olmedo,2000034591.0,12.4,12.0,10.0,11.7,12.3,12.8,12.8,10.9
Antonio Sánchez,67272744.0,11.1,10.4,11.85,11.25,11.1,11.0,10.85,11.45
Kike Barja,67196202.0,13.05,13.05,10.95,12.6,12.75,13.4,13.4,11.8
Sem Westerveld,37079077.0,7.9,6.4,8.6,7.6,7.3,6.1,6.0,8.0
Fali,67155014.0,11.8,11.15,12.75,11.6,11.75,10.45,10.0,12.2
Chema Nuñez,67232678.0,12.1,12.25,9.65,11.6,11.85,12.35,12.4,10.9
Fran Pérez,95078306.0,11.5,12.2,9.4,12.05,11.5,12.5,12.65,10.95
Diego Moreno,2000024303.0,10.8,11.2,12.2,11.8,11.35,11.25,11.25,11.95
Ezequiel Aranda,14246685.0,13.05,12.2,11.2,14.1,13.45,13.35,14.4,12.45
Ángel Luis Arcas,2000571805.0,13.3,11.75,12.4,12.85,13.3,12.65,12.8,12.65
