Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Diego Aizpurua,2000193388.0,9.5,9.5,9.5,9.5,7.4,7.4,8.85,8.85,7.33,7.33
Asier Grande,2000048078.0,12.55,12.55,12.55,12.55,13.0,13.0,11.9,11.9,12.25,12.25
Yeray,67192475.0,11.4,11.4,11.4,11.4,10.75,10.75,11.15,11.15,11.12,11.12
Unai Núñez,67214595.0,10.9,10.9,10.9,10.9,10.35,10.35,10.75,10.75,10.88,10.88
Julen Letamendia,2000570277.0,13.0,13.0,13.0,13.0,12.75,12.75,12.65,12.65,12.12,12.12
Josema,2000682315.0,14.8,14.8,14.8,14.8,13.15,13.15,14.1,14.1,12.88,12.88
Carlos Bidaurrázaga,2000573859.0,13.8,13.8,13.8,13.8,14.2,14.2,14.4,14.4,13.5,13.5
Oihan Sancet,67260204.0,14.4,14.4,14.4,14.4,13.45,13.45,14.0,14.0,13.46,13.46
Unai Vencedor,67260207.0,14.15,14.15,14.15,14.15,13.2,13.2,13.75,13.75,12.42,12.42
Íñigo Herrera,2000510687.0,12.9,12.9,12.9,12.9,13.5,13.5,12.6,12.6,12.83,12.83
Romain Bertrand,2000438620.0,14.75,14.75,14.75,14.75,13.65,13.65,14.95,14.95,13.79,13.79
Oier López,67277836.0,11.95,11.95,11.95,11.95,11.6,11.6,11.2,11.2,11.42,11.42
Javier Arrue,2000438617.0,13.0,13.0,13.0,13.0,13.3,13.3,12.6,12.6,13.5,13.5
Fran Alonso,2000570282.0,13.55,13.55,13.55,13.55,13.5,13.5,13.25,13.25,13.5,13.5
Aimar Oroz,67276375.0,13.95,13.95,13.95,13.95,12.6,12.6,13.2,13.2,11.5,11.5
Mikel Garai,2000438623.0,15.6,15.6,15.6,15.6,14.65,14.65,16.3,16.3,14.21,14.21
Ander Guevara,67246381.0,13.85,13.85,13.85,13.85,11.3,11.3,13.35,13.35,11.29,11.29
Javier Karanka,2000193733.0,12.15,12.15,12.15,12.15,14.25,14.25,11.9,11.9,13.38,13.38
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,13.8,13.8,13.8,13.8,13.5,13.5,13.3,13.3,12.67,12.67
Íñigo Merino,2000442705.0,10.6,10.6,10.6,10.6,10.6,10.6,9.8,9.8,11.0,11.0
