Player,UID,FB,WB,IWB,CWB,NNFB
Diego Aizpurua,2000193388.0,9.7,6.6,9.7,7.62,9.7
Asier Grande,2000048078.0,14.3,12.95,13.2,12.77,13.05
Yeray,67192475.0,14.1,11.9,13.6,12.0,14.15
Unai Núñez,67214595.0,13.9,11.4,13.0,11.31,14.15
Julen Letamendia,2000570277.0,14.4,13.05,14.0,12.81,14.6
Josema,2000682315.0,14.35,13.1,14.75,13.31,13.45
Carlos Bidaurrázaga,2000573859.0,12.3,13.0,11.7,12.92,11.3
Oihan Sancet,67260204.0,12.6,12.5,13.0,13.0,11.9
Unai Vencedor,67260207.0,14.4,13.1,14.6,13.62,13.4
Íñigo Herrera,2000510687.0,11.5,12.2,11.0,12.62,10.2
Romain Bertrand,2000438620.0,12.0,12.15,12.6,12.88,11.65
Oier López,67277836.0,13.4,12.35,12.45,11.81,12.7
Javier Arrue,2000438617.0,8.9,10.3,8.8,11.31,7.8
Fran Alonso,2000570282.0,11.5,11.65,11.3,12.42,10.3
Aimar Oroz,67276375.0,11.2,11.3,12.0,12.31,10.05
Mikel Garai,2000438623.0,12.3,12.85,12.5,13.65,11.4
Ander Guevara,67246381.0,13.0,11.75,14.15,12.46,13.6
Javier Karanka,2000193733.0,10.7,11.55,9.8,12.08,8.85
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,11.3,10.75,11.3,11.65,9.6
Íñigo Merino,2000442705.0,12.7,10.45,11.65,10.62,12.55
