Player,UID,GK,DR,DC,DL,WBR,DM,WBL,MR,MC,ML,AMR,AMC,AML,STC
Diego Aizpurua,2000193388,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Asier Grande,2000048078,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Yeray,67192475,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unai Núñez,67214595,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Julen Letamendia,2000570277,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Josema,2000682315,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Carlos Bidaurrázaga,2000573859,0,0,0,0,0,0,0,1,0,0,1,0,1,1
Oihan Sancet,67260204,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Unai Vencedor,67260207,0,0,1,0,0,1,0,0,1,0,0,0,0,0
Íñigo Herrera,2000510687,0,0,0,0,0,0,0,0,1,1,1,0,1,0
Romain Bertrand,2000438620,0,0,0,0,0,0,0,0,1,0,1,0,0,1
Oier López,67277836,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Javier Arrue,2000438617,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Fran Alonso,2000570282,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Aimar Oroz,67276375,0,0,0,0,0,0,0,0,1,1,1,1,1,0
Mikel Garai,2000438623,0,0,0,0,0,0,0,0,0,0,1,1,0,1
Ander Guevara,67246381,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Javier Karanka,2000193733,0,0,0,0,0,0,0,1,1,0,1,0,1,0
Arkaitz Jauregi,2000350400,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Jon Magunazelaia,2000438619,0,0,0,0,0,0,0,0,1,1,0,1,1,1
Íñigo Merino,2000442705,0,0,1,1,0,1,0,0,0,0,0,0,0,0
