Player,UID,AMC,AP,T,SS,AM,EG
Diego Aizpurua,2000193388.0,10.35,9.15,10.35,8.85,9.5,8.5
Asier Grande,2000048078.0,12.9,12.7,12.9,11.9,12.55,12.35
Yeray,67192475.0,12.25,11.45,12.25,11.15,11.4,10.45
Unai Núñez,67214595.0,11.95,11.25,11.95,10.75,10.9,10.05
Julen Letamendia,2000570277.0,12.8,12.4,12.8,12.65,13.0,12.5
Josema,2000682315.0,15.05,14.45,15.05,14.1,14.8,14.05
Carlos Bidaurrázaga,2000573859.0,13.1,13.3,13.1,14.4,13.8,13.6
Oihan Sancet,67260204.0,14.25,14.7,14.25,14.0,14.4,14.4
Unai Vencedor,67260207.0,14.05,13.85,14.05,13.75,14.15,13.9
Íñigo Herrera,2000510687.0,12.3,12.1,12.3,12.6,12.9,13.1
Romain Bertrand,2000438620.0,14.3,14.7,14.3,14.95,14.75,15.05
Oier López,67277836.0,11.9,11.5,11.9,11.2,11.95,11.25
Javier Arrue,2000438617.0,11.9,13.0,11.9,12.6,13.0,13.7
Fran Alonso,2000570282.0,13.5,13.7,13.5,13.25,13.55,13.9
Aimar Oroz,67276375.0,13.9,14.2,13.9,13.2,13.95,14.0
Mikel Garai,2000438623.0,14.55,15.05,14.55,16.3,15.6,15.45
Ander Guevara,67246381.0,13.9,13.5,13.9,13.35,13.85,13.35
Javier Karanka,2000193733.0,12.05,13.05,12.05,11.9,12.15,13.2
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,13.65,14.35,13.65,13.3,13.8,14.0
Íñigo Merino,2000442705.0,11.5,11.2,11.5,9.8,10.6,9.9
