Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Diego Aizpurua,2000193388.0,12.6,10.55,10.3,10.65,11.5,10.25,10.7,10.9
Asier Grande,2000048078.0,13.3,12.3,13.4,13.05,13.3,12.1,12.5,13.8
Yeray,67192475.0,13.5,12.25,13.95,12.75,13.1,11.6,10.8,13.9
Unai Núñez,67214595.0,12.6,10.95,14.05,12.35,12.6,10.7,10.7,13.5
Julen Letamendia,2000570277.0,13.6,13.25,14.5,13.2,13.4,12.95,13.6,14.3
Josema,2000682315.0,14.1,13.85,13.75,15.0,15.3,13.75,14.9,15.35
Carlos Bidaurrázaga,2000573859.0,12.1,12.3,11.5,13.5,12.8,14.2,13.9,12.2
Oihan Sancet,67260204.0,13.95,13.9,12.15,14.1,14.0,14.35,14.3,13.05
Unai Vencedor,67260207.0,14.2,13.35,13.5,14.35,14.85,13.7,14.05,14.55
Íñigo Herrera,2000510687.0,11.7,11.6,10.5,12.0,12.1,13.1,13.5,11.1
Romain Bertrand,2000438620.0,14.3,13.9,12.05,14.6,14.5,14.3,15.25,13.1
Oier López,67277836.0,12.35,11.65,12.55,12.1,12.1,11.7,12.5,12.7
Javier Arrue,2000438617.0,10.9,11.2,8.3,11.9,11.6,13.3,13.7,9.5
Fran Alonso,2000570282.0,12.7,12.1,10.9,12.9,13.0,13.25,13.55,11.8
Aimar Oroz,67276375.0,13.6,13.4,10.3,13.15,13.6,13.4,13.75,12.35
Mikel Garai,2000438623.0,13.7,13.75,11.75,15.0,14.2,15.05,15.5,13.25
Ander Guevara,67246381.0,14.05,13.05,13.45,13.85,14.2,13.0,13.7,13.95
Javier Karanka,2000193733.0,10.9,10.45,10.15,12.35,12.3,11.7,12.05,11.05
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,12.65,11.9,10.85,13.6,13.45,13.4,13.85,12.4
Íñigo Merino,2000442705.0,12.8,11.3,13.0,12.1,12.65,10.75,10.75,12.55
