Player,UID,DM,AM,BWM,HB,SV,RGA
Diego Aizpurua,2000193388.0,10.2,9.4,9.4,10.3,9.8,10.65
Asier Grande,2000048078.0,13.6,13.55,13.55,13.4,13.15,12.7
Yeray,67192475.0,14.0,13.9,13.9,13.95,14.1,11.95
Unai Núñez,67214595.0,14.2,14.2,14.2,14.05,13.4,11.15
Julen Letamendia,2000570277.0,14.3,13.9,13.9,14.5,14.0,13.4
Josema,2000682315.0,14.95,14.65,14.65,13.75,14.2,13.9
Carlos Bidaurrázaga,2000573859.0,11.7,11.6,11.6,11.5,12.5,12.1
Oihan Sancet,67260204.0,12.5,12.3,12.3,12.15,12.9,14.75
Unai Vencedor,67260207.0,14.15,14.3,14.3,13.5,14.65,13.55
Íñigo Herrera,2000510687.0,10.2,10.3,10.3,10.5,11.1,10.9
Romain Bertrand,2000438620.0,12.5,12.2,12.2,12.05,12.6,14.5
Oier López,67277836.0,13.25,12.85,12.85,12.55,12.3,12.0
Javier Arrue,2000438617.0,8.3,7.8,7.8,8.3,9.0,11.6
Fran Alonso,2000570282.0,10.6,10.6,10.6,10.9,11.3,12.4
Aimar Oroz,67276375.0,11.3,10.8,10.8,10.3,11.55,13.95
Mikel Garai,2000438623.0,12.6,12.5,12.5,11.75,13.05,14.2
Ander Guevara,67246381.0,13.65,13.65,13.65,13.45,13.95,13.4
Javier Karanka,2000193733.0,9.75,10.6,10.6,10.15,9.95,10.35
Arkaitz Jauregi,2000350400.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon Magunazelaia,2000438619.0,10.85,11.55,11.55,10.85,11.45,12.65
Íñigo Merino,2000442705.0,13.2,13.45,13.45,13.0,11.6,11.2
