Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,ST
Mario Sacchi,2000628256.0,12.91,12.92,12.2,13.28,12.99,13.46,13.45,13.48,13.71,13.3
Giorgio Del Nero,2000569080.0,9.88,9.73,8.54,10.42,9.6,10.73,10.13,10.93,10.6,9.91
Ding Lei,2000566986.0,11.17,10.39,9.52,10.53,10.37,10.74,10.93,10.78,11.0,10.21
Francesco Boron,2000510618.0,8.82,9.31,8.38,9.81,9.07,10.17,9.8,10.26,10.05,9.86
Alessandro Cudicio,2000436500.0,10.51,10.86,9.69,11.43,10.85,11.66,11.42,12.03,11.79,10.99
José Daniel Lafuente,2000435809.0,12.2,11.88,11.29,12.27,12.05,12.69,12.63,12.7,12.8,12.31
Andrea Beretta,2000323828.0,10.72,8.95,8.68,8.86,8.78,8.52,8.89,8.46,8.92,7.66
Gianluigi Fornari,2000199598.0,11.19,9.45,9.38,9.2,8.94,8.82,8.86,8.89,8.91,8.23
Tommaso Risaliti,2000198565.0,11.12,11.18,11.43,11.04,10.96,10.73,10.69,10.93,10.71,10.47
Antonio Buzzi,2000193933.0,11.35,11.1,11.27,10.76,10.57,10.29,10.32,10.36,10.28,10.04
Matteo Bernard,2000189331.0,12.22,12.27,11.37,12.7,12.1,12.92,12.55,13.17,12.9,12.46
Kamil Broda,96129081.0,10.18,8.46,8.58,8.15,7.76,7.76,7.7,7.77,7.8,7.73
Alessio Furlanetto,43425157.0,9.73,7.54,8.03,7.12,7.17,6.93,6.95,6.86,7.04,6.81
Matteo Canini,2000437226.0,11.05,11.34,10.66,11.78,11.05,12.14,11.66,12.51,12.3,12.81
Carlos Rojas,2000561489.0,10.18,10.18,9.53,10.32,9.79,10.12,9.78,10.48,10.19,9.61
Mauro Brizi,2000272649.0,12.37,10.25,9.95,10.04,9.72,9.48,9.68,9.49,9.66,8.99
Fidel Blasco,2000573382.0,10.37,10.2,9.04,10.72,10.1,11.32,10.61,11.62,11.28,10.73
Cristian Ferrari,2000570040.0,12.23,11.58,10.57,11.87,11.46,12.1,12.27,12.28,12.45,11.8
Raffaele Civita,2000437228.0,11.63,11.86,11.54,12.05,11.51,11.88,11.63,12.2,11.95,11.58
Massimo Todaro,2000437225.0,11.94,9.91,9.8,9.59,9.46,9.18,9.41,9.09,9.52,8.54
Kalidou Koulibaly,85051083.0,10.6,10.18,11.45,9.43,10.42,8.95,9.86,8.49,9.04,9.26
Roberto Taliento,43252472.0,10.35,8.96,8.94,8.79,8.35,8.33,8.46,8.34,8.48,8.25
Claud Adjapong,43202413.0,12.35,12.4,12.13,12.48,12.15,12.36,12.13,12.55,12.29,11.88
Amir Rrahmani,11023165.0,10.6,9.66,10.89,8.9,9.89,8.58,9.23,8.19,8.47,8.59
Egidio Guidi,2000190821.0,13.1,12.61,12.6,12.31,12.29,11.85,12.06,11.9,11.97,11.77
Giacomo Raspadori,43316850.0,12.48,11.78,10.75,12.21,11.69,12.67,12.34,12.72,12.74,12.56
Vasyl Lysenko,2000660045.0,13.85,13.11,13.21,12.73,12.81,12.23,12.43,12.26,12.3,11.9
Davide Addis,2000199603.0,11.83,12.18,11.84,12.37,12.09,12.35,12.41,12.44,12.41,12.02
Mario Liccardo,2000437227.0,14.42,13.55,13.11,13.4,13.32,13.07,13.32,13.14,13.31,12.43
Enrico Del Prato,43252473.0,13.29,12.7,12.78,12.62,12.56,12.49,12.46,12.51,12.41,12.15
Lennart Czyborra,91166521.0,12.95,12.8,12.53,12.88,12.66,12.67,12.76,12.8,12.77,12.37
Daniele De Filippis,2000327509.0,11.48,11.34,10.66,11.68,11.04,11.78,11.36,11.96,11.63,11.27
Leonardo Loria,43269230.0,11.55,9.28,9.56,9.0,8.98,8.72,8.9,8.66,8.94,8.27
Cláudio Marcos,2000410741.0,11.35,9.16,9.32,8.78,8.81,8.34,8.52,8.22,8.43,7.8
Nicolò Trombino,2000324477.0,13.03,12.75,12.39,12.85,12.76,13.12,13.05,13.0,12.89,12.81
Amath N'Diaye,67213756.0,10.2,9.98,8.91,10.49,9.73,10.98,10.44,11.19,10.98,10.79
Chancel Mbemba,18057323.0,11.72,11.23,11.65,10.91,11.29,10.65,11.09,10.55,10.63,10.28
Cristian Pavón,14083972.0,11.17,11.23,9.96,11.78,10.79,11.9,11.42,12.17,11.74,11.29
Jonathan Augustinsson,93051231.0,12.7,12.64,12.73,12.5,12.54,12.23,12.36,12.15,12.09,11.75
Fabián Buonanno,2000273255.0,13.06,12.98,12.4,13.21,13.0,13.37,13.46,13.37,13.71,13.25
Pablo Aránguiz,75036973.0,12.12,11.49,10.4,11.9,11.56,12.37,12.11,12.4,12.45,11.67
Daniele Rugani,43083931.0,12.45,12.33,12.79,11.9,12.24,11.32,11.78,11.28,11.44,11.21
