Player,UID,AMC,AP,T,SS,AM,EG
Mario Sacchi,2000628256.0,14.0,14.5,14.0,13.9,14.1,14.4
Giorgio Del Nero,2000569080.0,10.3,10.8,10.3,9.4,10.3,10.65
Ding Lei,2000566986.0,12.7,13.0,12.7,11.3,12.1,11.7
Francesco Boron,2000510618.0,10.85,11.95,10.85,11.2,11.05,12.25
Alessandro Cudicio,2000436500.0,12.15,12.45,12.15,12.35,12.85,12.95
José Daniel Lafuente,2000435809.0,13.2,13.6,13.2,13.8,14.2,13.8
Andrea Beretta,2000323828.0,9.25,8.7,9.25,6.75,8.15,7.4
Gianluigi Fornari,2000199598.0,8.7,7.95,8.7,7.3,7.95,7.0
Tommaso Risaliti,2000198565.0,9.8,9.9,9.8,9.6,9.9,9.6
Antonio Buzzi,2000193933.0,10.05,9.55,10.05,8.4,9.25,9.25
Matteo Bernard,2000189331.0,12.7,13.5,12.7,13.1,13.55,14.15
Kamil Broda,96129081.0,7.25,6.35,7.25,6.2,6.5,6.05
Alessio Furlanetto,43425157.0,7.0,5.95,7.0,6.2,6.45,4.6
Matteo Canini,2000437226.0,11.1,12.0,11.1,12.6,12.1,12.6
Carlos Rojas,2000561489.0,9.6,9.6,9.6,8.95,9.5,9.35
Mauro Brizi,2000272649.0,10.45,9.2,10.45,7.85,8.3,8.0
Fidel Blasco,2000573382.0,11.9,12.5,11.9,11.0,11.9,12.45
Cristian Ferrari,2000570040.0,13.9,14.65,13.9,13.7,13.55,14.45
Raffaele Civita,2000437228.0,11.2,11.3,11.2,10.6,11.0,11.7
Massimo Todaro,2000437225.0,9.85,8.55,9.85,7.75,8.8,7.65
Kalidou Koulibaly,85051083.0,10.45,10.15,10.45,9.6,9.45,9.0
Roberto Taliento,43252472.0,9.05,8.25,9.05,7.25,7.6,7.65
Claud Adjapong,43202413.0,11.95,11.75,11.95,10.95,11.65,11.65
Amir Rrahmani,11023165.0,9.65,8.45,9.65,8.65,8.95,7.55
Egidio Guidi,2000190821.0,11.75,11.15,11.75,11.3,11.15,11.2
Giacomo Raspadori,43316850.0,13.1,13.4,13.1,13.3,13.2,13.55
Vasyl Lysenko,2000660045.0,12.1,11.4,12.1,11.15,11.6,10.7
Davide Addis,2000199603.0,12.85,13.15,12.85,12.45,13.15,13.45
Mario Liccardo,2000437227.0,14.25,13.25,14.25,12.75,13.55,12.85
Enrico Del Prato,43252473.0,12.25,12.05,12.25,11.55,12.25,11.95
Lennart Czyborra,91166521.0,13.25,13.05,13.25,12.75,13.2,12.9
Daniele De Filippis,2000327509.0,11.6,11.9,11.6,11.6,11.85,12.55
Leonardo Loria,43269230.0,8.65,7.65,8.65,7.4,8.2,6.6
Cláudio Marcos,2000410741.0,8.85,7.95,8.85,7.3,7.65,6.7
Nicolò Trombino,2000324477.0,13.6,13.8,13.6,13.4,13.5,13.75
Amath N'Diaye,67213756.0,10.6,11.2,10.6,11.0,11.0,11.65
Chancel Mbemba,18057323.0,12.35,11.85,12.35,11.15,11.45,11.15
Cristian Pavón,14083972.0,12.2,12.1,12.2,11.95,11.75,12.2
Jonathan Augustinsson,93051231.0,12.7,12.1,12.7,11.9,12.05,11.6
Fabián Buonanno,2000273255.0,14.0,14.5,14.0,13.3,13.9,14.7
Pablo Aránguiz,75036973.0,13.1,13.5,13.1,12.7,13.3,13.4
Daniele Rugani,43083931.0,12.5,11.8,12.5,11.1,11.4,11.2
