Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Mario Sacchi,2000628256.0,8.67,16.0,14.0,13.67,14.33,13.67,9.0,12.17
Giorgio Del Nero,2000569080.0,4.17,11.0,15.5,12.67,8.5,9.83,5.0,10.0
Ding Lei,2000566986.0,4.33,11.0,11.0,12.0,8.67,11.67,8.0,12.67
Francesco Boron,2000510618.0,3.5,12.75,9.5,10.0,8.33,14.5,9.5,7.92
Alessandro Cudicio,2000436500.0,5.5,12.12,15.5,12.0,8.67,14.0,5.5,10.17
José Daniel Lafuente,2000435809.0,7.33,12.0,12.5,14.67,13.0,14.33,8.5,11.83
Andrea Beretta,2000323828.0,5.33,10.88,11.0,10.67,3.67,3.67,5.75,11.42
Gianluigi Fornari,2000199598.0,5.83,12.5,11.75,5.83,3.83,4.0,9.0,11.5
Tommaso Risaliti,2000198565.0,12.67,10.88,14.0,9.83,6.83,10.0,11.5,9.92
Antonio Buzzi,2000193933.0,11.67,13.75,11.0,9.0,6.17,7.33,14.0,12.17
Matteo Bernard,2000189331.0,6.5,15.62,15.5,14.17,10.5,12.83,10.0,11.25
Kamil Broda,96129081.0,5.0,10.62,9.5,5.17,4.33,4.67,11.25,9.67
Alessio Furlanetto,43425157.0,4.17,6.0,9.5,5.5,3.83,4.0,9.75,11.08
Matteo Canini,2000437226.0,5.33,13.0,16.0,10.83,14.33,14.33,12.5,9.58
Carlos Rojas,2000561489.0,8.0,12.12,14.25,7.83,5.67,9.83,9.0,8.92
Mauro Brizi,2000272649.0,6.33,12.5,12.5,7.5,5.67,4.67,7.75,14.5
Fidel Blasco,2000573382.0,2.5,10.88,14.25,13.17,10.17,12.67,8.5,11.08
Cristian Ferrari,2000570040.0,6.0,12.12,13.5,15.0,11.33,14.5,8.0,12.42
Raffaele Civita,2000437228.0,11.33,14.0,16.25,9.33,8.67,12.5,11.5,10.08
Massimo Todaro,2000437225.0,5.83,12.12,10.5,8.5,3.83,5.33,8.5,10.83
Kalidou Koulibaly,85051083.0,16.33,8.38,5.0,9.0,8.83,8.0,15.0,13.25
Roberto Taliento,43252472.0,6.0,10.88,10.5,7.5,5.83,5.0,10.25,10.17
Claud Adjapong,43202413.0,12.33,12.25,15.5,11.67,10.0,11.33,11.5,12.17
Amir Rrahmani,11023165.0,14.67,6.62,5.25,7.0,7.17,7.67,14.0,13.92
Egidio Guidi,2000190821.0,12.5,15.25,13.0,9.0,8.17,9.67,14.5,13.5
Giacomo Raspadori,43316850.0,4.5,13.12,14.5,13.67,14.0,13.17,8.5,13.33
Vasyl Lysenko,2000660045.0,14.33,12.5,15.0,10.17,8.5,9.17,13.5,14.5
Davide Addis,2000199603.0,9.33,14.12,13.25,13.33,9.67,12.33,13.0,11.58
Mario Liccardo,2000437227.0,12.17,15.75,13.5,10.0,8.5,14.17,10.5,15.0
Enrico Del Prato,43252473.0,13.0,12.5,13.5,12.67,11.0,11.67,11.5,13.33
Lennart Czyborra,91166521.0,12.0,13.75,13.75,11.5,10.17,13.0,11.0,13.42
Daniele De Filippis,2000327509.0,6.5,14.0,14.0,12.17,8.17,12.83,10.5,11.58
Leonardo Loria,43269230.0,5.67,8.38,12.5,8.17,5.0,4.33,8.75,12.25
Cláudio Marcos,2000410741.0,6.17,11.38,9.0,6.5,3.17,4.83,8.5,12.17
Nicolò Trombino,2000324477.0,9.83,14.12,12.0,13.33,13.33,12.17,12.5,14.0
Amath N'Diaye,67213756.0,3.83,11.12,14.0,11.33,11.67,11.83,7.0,9.67
Chancel Mbemba,18057323.0,14.0,9.38,9.25,10.0,9.0,11.0,11.0,14.75
Cristian Pavón,14083972.0,6.33,13.25,14.5,10.5,11.0,11.5,5.5,11.33
Jonathan Augustinsson,93051231.0,14.0,12.75,12.0,10.17,9.17,11.5,12.0,13.58
Fabián Buonanno,2000273255.0,8.67,15.25,15.0,16.0,12.33,14.0,13.5,12.17
Pablo Aránguiz,75036973.0,6.0,11.25,14.0,15.0,12.33,13.33,5.5,12.67
Daniele Rugani,43083931.0,15.0,12.5,11.0,11.0,7.0,10.67,15.0,13.67
