Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Danilo Rizzo,2000567633.0,4.8,4.8,4.8,4.8,6.0,6.0,4.8,4.8,6.08,6.08
Eirik Haugland,2000555555.0,13.35,13.35,13.35,13.35,12.1,12.1,12.95,12.95,12.33,12.33
Leroy Moonen,2000438559.0,12.05,12.05,12.05,12.05,11.45,11.45,11.7,11.7,11.12,11.12
Gaëtan Redon,2000433840.0,11.8,11.8,11.8,11.8,10.85,10.85,11.05,11.05,11.71,11.71
Milton Mijoch,2000272968.0,10.8,10.8,10.8,10.8,12.25,12.25,10.6,10.6,11.12,11.12
Stavros Kallitsounakis,2000232881.0,14.05,14.05,14.05,14.05,14.7,14.7,13.7,13.7,13.17,13.17
Fulvio Colacicco,2000191153.0,11.75,11.75,11.75,11.75,12.9,12.9,11.6,11.6,12.67,12.67
Luiz Felipe,19225765.0,13.6,13.6,13.6,13.6,12.6,12.6,12.6,12.6,13.17,13.17
Raniero Cini,2000567637.0,12.9,12.9,12.9,12.9,13.35,13.35,12.7,12.7,12.21,12.21
Klajdi Ferati,2000567635.0,10.3,10.3,10.3,10.3,10.45,10.45,9.8,9.8,10.88,10.88
Davide Costarella,2000512160.0,5.65,5.65,5.65,5.65,6.45,6.45,5.6,5.6,6.46,6.46
Vitalijs Cvetkovs,2000507392.0,12.4,12.4,12.4,12.4,12.1,12.1,11.9,11.9,11.25,11.25
Mauro Cirelli,2000435220.0,11.95,11.95,11.95,11.95,14.05,14.05,12.2,12.2,13.62,13.62
Marcus Andersson,2000397891.0,13.45,13.45,13.45,13.45,13.6,13.6,13.85,13.85,12.17,12.17
Marcus Andersson,2000397735.0,12.65,12.65,12.65,12.65,12.9,12.9,13.2,13.2,12.0,12.0
Miel Devos,2000199510.0,13.45,13.45,13.45,13.45,12.5,12.5,13.2,13.2,11.92,11.92
Niklas Süle,91107360.0,9.15,9.15,9.15,9.15,8.75,8.75,8.75,8.75,9.88,9.88
Michele Di Gregorio,43161669.0,9.5,9.5,9.5,9.5,7.3,7.3,8.45,8.45,7.33,7.33
Tahith Chong,37058361.0,12.6,12.6,12.6,12.6,13.25,13.25,12.3,12.3,12.62,12.62
Donyell Malen,37055844.0,13.7,13.7,13.7,13.7,13.8,13.8,14.0,14.0,13.33,13.33
Donny van de Beek,37048153.0,14.6,14.6,14.6,14.6,13.5,13.5,14.3,14.3,13.17,13.17
Robin Gosens,37041773.0,13.75,13.75,13.75,13.75,13.0,13.0,14.1,14.1,12.83,12.83
Kevin De Bruyne,18004457.0,15.1,15.1,15.1,15.1,11.7,11.7,14.6,14.6,10.83,10.83
Federico Brancolini,43357008.0,8.6,8.6,8.6,8.6,7.2,7.2,7.9,7.9,7.58,7.58
Daniel Lamas,2000568699.0,14.1,14.1,14.1,14.1,14.15,14.15,14.0,14.0,13.79,13.79
Franco Ferraro,2000325869.0,14.4,14.4,14.4,14.4,14.2,14.2,14.7,14.7,14.0,14.0
Riccardo Sottil,43270713.0,12.05,12.05,12.05,12.05,12.8,12.8,12.1,12.1,12.25,12.25
John Gil,2000562142.0,15.1,15.1,15.1,15.1,14.2,14.2,15.0,15.0,13.17,13.17
Gustavo Fernández,2000539166.0,15.7,15.7,15.7,15.7,15.6,15.6,14.8,14.8,14.33,14.33
Ferran Torres,89056845.0,13.2,13.2,13.2,13.2,13.5,13.5,13.1,13.1,13.33,13.33
Christopher Nkunku,85140301.0,15.7,15.7,15.7,15.7,14.8,14.8,15.2,15.2,13.67,13.67
Mohamed Ihattaren,37073834.0,13.85,13.85,13.85,13.85,12.6,12.6,13.5,13.5,11.83,11.83
Anyelo Oropesa,2000606155.0,10.1,10.1,10.1,10.1,10.5,10.5,9.8,9.8,11.25,11.25
Davide Bettella,43316726.0,11.8,11.8,11.8,11.8,11.7,11.7,11.3,11.3,12.33,12.33
Roque Rébora,2000285968.0,13.5,13.5,13.5,13.5,12.0,12.0,12.8,12.8,12.0,12.0
Josha Vagnoman,91184445.0,12.2,12.2,12.2,12.2,13.35,13.35,11.9,11.9,13.04,13.04
Gabriele Zappa,43272248.0,13.6,13.6,13.6,13.6,12.95,12.95,13.55,13.55,12.88,12.88
Thomas Strakosha,43115047.0,10.75,10.75,10.75,10.75,10.45,10.45,9.9,9.9,10.46,10.46
Guillermo Vaccarezza,2000489469.0,15.6,15.6,15.6,15.6,15.0,15.0,14.9,14.9,13.83,13.83
