Player,UID,Position
Danilo Rizzo,2000567633,GK
Eirik Haugland,2000555555,D (RLC)
Leroy Moonen,2000438559,"DM, M (C)"
Gaëtan Redon,2000433840,"D (C), DM, M (C)"
Milton Mijoch,2000272968,"M (LC), AM (RLC)"
Stavros Kallitsounakis,2000232881,"M (RC), AM (RLC)"
Fulvio Colacicco,2000191153,D/WB/M (L)
Luiz Felipe,19225765,D (C)
Raniero Cini,2000567637,"M (R), AM (RL)"
Klajdi Ferati,2000567635,"D (C), M (LC)"
Davide Costarella,2000512160,GK
Vitalijs Cvetkovs,2000507392,"DM, M/AM (C)"
Mauro Cirelli,2000435220,"AM (RL), ST (C)"
Marcus Andersson,2000397891,"AM (R), ST (C)"
Marcus Andersson,2000397735,"AM (R), ST (C)"
Miel Devos,2000199510,"M (RC), AM (C), ST (C)"
Niklas Süle,91107360,D (C)
Michele Di Gregorio,43161669,GK
Tahith Chong,37058361,"M (R), AM (RLC), ST (C)"
Donyell Malen,37055844,"M (L), AM (RL), ST (C)"
Donny van de Beek,37048153,"DM, M/AM (C)"
Robin Gosens,37041773,D/WB/M (L)
Kevin De Bruyne,18004457,"DM, M (RLC), AM (RC)"
Federico Brancolini,43357008,GK
Daniel Lamas,2000568699,"AM (RL), ST (C)"
Franco Ferraro,2000325869,"AM (R), ST (C)"
Riccardo Sottil,43270713,"D/WB (R), M/AM (RL), ST (C)"
John Gil,2000562142,"AM (RC), ST (C)"
Gustavo Fernández,2000539166,"M (RC), AM (C)"
Ferran Torres,89056845,"M (R), AM (RL), ST (C)"
Christopher Nkunku,85140301,"M (RLC), AM (LC)"
Mohamed Ihattaren,37073834,M/AM (RLC)
Anyelo Oropesa,2000606155,D (RC)
Davide Bettella,43316726,D (C)
Roque Rébora,2000285968,"D (LC), DM, M (C)"
Josha Vagnoman,91184445,"D (RLC), WB (RL)"
Gabriele Zappa,43272248,"D (RC), WB/M (R)"
Thomas Strakosha,43115047,GK
Guillermo Vaccarezza,2000489469,"DM, M/AM (C)"
