Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Danilo Rizzo,2000567633.0,7.6,6.05,8.9,7.3,7.0,5.5,5.5,8.1
Eirik Haugland,2000555555.0,13.8,13.0,13.8,13.85,13.55,12.5,13.6,13.9
Leroy Moonen,2000438559.0,12.5,11.75,11.65,12.35,12.8,12.2,12.55,12.05
Gaëtan Redon,2000433840.0,12.2,11.0,13.0,12.4,12.4,11.55,11.75,12.25
Milton Mijoch,2000272968.0,9.55,9.7,8.3,9.65,9.4,11.6,12.15,8.4
Stavros Kallitsounakis,2000232881.0,11.6,11.95,11.4,13.9,13.2,12.8,13.5,12.5
Fulvio Colacicco,2000191153.0,11.85,11.35,12.45,12.5,12.35,11.2,11.65,12.7
Luiz Felipe,19225765.0,14.7,13.4,16.4,14.5,15.0,12.9,13.5,15.6
Raniero Cini,2000567637.0,10.7,10.85,9.85,11.4,10.8,12.5,13.95,9.65
Klajdi Ferati,2000567635.0,11.85,10.1,12.45,11.5,11.55,10.05,10.35,12.45
Davide Costarella,2000512160.0,7.4,6.1,8.7,7.4,7.65,6.35,6.15,7.8
Vitalijs Cvetkovs,2000507392.0,10.8,10.1,10.2,11.6,11.7,11.4,12.4,10.7
Mauro Cirelli,2000435220.0,11.0,10.25,11.35,11.95,11.7,11.4,12.05,11.25
Marcus Andersson,2000397891.0,10.9,11.2,10.1,12.55,12.1,12.6,13.45,10.75
Marcus Andersson,2000397735.0,9.95,10.0,8.35,11.35,10.35,12.0,13.7,9.75
Miel Devos,2000199510.0,13.85,12.9,10.1,13.0,13.05,14.45,14.2,11.4
Niklas Süle,91107360.0,12.35,10.85,12.4,10.3,10.75,9.95,10.1,12.2
Michele Di Gregorio,43161669.0,11.1,9.55,10.9,10.25,11.2,8.85,9.1,10.4
Tahith Chong,37058361.0,11.85,11.6,10.1,11.45,11.5,12.9,13.25,10.0
Donyell Malen,37055844.0,12.8,12.4,11.3,13.1,12.7,13.8,14.3,11.7
Donny van de Beek,37048153.0,14.1,13.6,13.0,14.1,14.2,14.6,14.2,13.5
Robin Gosens,37041773.0,14.0,13.95,13.85,14.45,13.9,14.0,13.25,14.05
Kevin De Bruyne,18004457.0,15.75,16.15,11.2,14.55,15.05,15.8,14.4,13.6
Federico Brancolini,43357008.0,11.3,9.85,10.4,9.8,10.45,8.35,8.3,10.85
Daniel Lamas,2000568699.0,12.1,11.2,10.1,12.95,12.7,13.2,14.3,11.1
Franco Ferraro,2000325869.0,12.1,12.1,11.2,13.4,13.0,13.7,14.6,11.7
Riccardo Sottil,43270713.0,11.0,11.0,9.7,11.3,11.15,12.5,12.3,10.0
John Gil,2000562142.0,13.5,12.7,12.7,14.1,14.1,14.2,14.9,12.3
Gustavo Fernández,2000539166.0,14.5,14.0,12.1,15.1,15.1,15.1,15.8,13.7
Ferran Torres,89056845.0,13.0,12.9,10.7,12.5,12.6,13.8,13.9,11.6
Christopher Nkunku,85140301.0,14.9,14.5,12.9,15.3,15.4,15.2,15.4,14.2
Mohamed Ihattaren,37073834.0,13.4,12.9,10.5,12.7,12.85,14.9,14.8,10.8
Anyelo Oropesa,2000606155.0,10.7,10.3,12.5,11.2,11.2,9.8,10.3,12.1
Davide Bettella,43316726.0,13.0,12.2,14.2,12.6,12.9,11.9,12.1,13.9
Roque Rébora,2000285968.0,14.2,13.4,14.5,14.0,14.5,13.1,13.3,14.7
Josha Vagnoman,91184445.0,11.9,11.95,12.7,12.2,12.1,11.95,12.2,12.3
Gabriele Zappa,43272248.0,13.4,13.4,13.45,14.05,13.75,13.25,13.35,13.95
Thomas Strakosha,43115047.0,12.25,10.3,12.55,12.3,12.4,9.95,10.3,12.1
Guillermo Vaccarezza,2000489469.0,15.1,14.4,14.1,15.2,15.6,15.0,15.8,14.9
